1927,Best Actor,Emil Jannings [A,True,The Last CommandThe Way of All Flesh
1927,Best Actor,Richard Barthelmess,False,The NooseThe Patent Leather Kid
1928,Best Actor,Warner Baxter ,True,In Old Arizona
1928,Best Actor,George Bancroft,False,Thunderbolt
1928,Best Actor,Chester Morris,False,Alibi
1928,Best Actor,Paul Muni,False,The Valiant
1928,Best Actor,Lewis Stone,False,The Patriot
1929,Best Actor,George Arliss [B,True,Disraeli
1929,Best Actor,George Arliss[B,False,The Green Goddess
1929,Best Actor,Wallace Beery,False,The Big House
1929,Best Actor,Maurice Chevalier [B,False,The Big Pond  The Love Parade
1929,Best Actor,Ronald Colman [B,False,Bulldog Drummond  Condemned
1929,Best Actor,Lawrence Tibbett,False,The Rogue Song
1930,Best Actor,Lionel Barrymore ,True,A Free Soul
1930,Best Actor,Jackie Cooper,False,Skippy
1930,Best Actor,Richard Dix,False,Cimarron
1930,Best Actor,Fredric March,False,The Royal Family of Broadway
1930,Best Actor,Adolphe Menjou,False,The Front Page
1931,Best Actor,Wallace Beery  (TIE) [C,True,The Champ
1931,Best Actor,Fredric March  (TIE) [C,True,Dr. Jekyll and Mr. Hyde
1931,Best Actor,Alfred Lunt,False,The Guardsman
1932,Best Actor,Charles Laughton ,True,The Private Life of Henry VIII
1932,Best Actor,Leslie Howard,False,Berkeley Square
1932,Best Actor,Paul Muni,False,I Am a Fugitive from a Chain Gang
1934,Best Actor,Clark Gable ,True,It Happened One Night
1934,Best Actor,Frank Morgan,False,The Affairs of Cellini
1934,Best Actor,William Powell,False,The Thin Man
1935,Best Actor,Victor McLaglen ,True,The Informer
1935,Best Actor,Clark Gable,False,Mutiny on the Bounty
1935,Best Actor,Charles Laughton,False,Mutiny on the Bounty
1935,Best Actor,Paul Muni [D,False,Black Fury
1935,Best Actor,Franchot Tone,False,Mutiny on the Bounty
1936,Best Actor,Paul Muni ,True,The Story of Louis Pasteur
1936,Best Actor,Gary Cooper,False,Mr. Deeds Goes to Town
1936,Best Actor,Walter Huston,False,Dodsworth
1936,Best Actor,William Powell,False,My Man Godfrey
1936,Best Actor,Spencer Tracy,False,San Francisco
1937,Best Actor,Spencer Tracy ,True,Captains Courageous
