year,category,actor/actress,winner,movie
1936,BEST SUPPORTING ACTOR,Mischa Auer,False,My Man Godfrey
1936,BEST SUPPORTING ACTOR,Stuart Erwin,False,Pigskin Parade
1936,BEST SUPPORTING ACTOR,Basil Rathbone,False,Romeo and Juliet
1936,BEST SUPPORTING ACTOR,Akim Tamiroff,False,The General Died at Dawn
1937,BEST SUPPORTING ACTOR,Joseph Schildkraut ,True,The Life of Emile Zola
1937,BEST SUPPORTING ACTOR,Ralph Bellamy,False,The Awful Truth
1937,BEST SUPPORTING ACTOR,Thomas Mitchell,False,The Hurricane
1937,BEST SUPPORTING ACTOR,H. B. Warner,False,Lost Horizon
1937,BEST SUPPORTING ACTOR,Roland Young,False,Topper
1938,BEST SUPPORTING ACTOR,Walter Brennan ,True,Kentucky
1938,BEST SUPPORTING ACTOR,John Garfield,False,Four Daughters
1938,BEST SUPPORTING ACTOR,Gene Lockhart,False,Algiers
1938,BEST SUPPORTING ACTOR,Robert Morley,False,Marie Antoinette
1938,BEST SUPPORTING ACTOR,Basil Rathbone,False,If I Were King
1939,BEST SUPPORTING ACTOR,Thomas Mitchell ,True,Stagecoach
1939,BEST SUPPORTING ACTOR,Brian Aherne,False,Juarez
1939,BEST SUPPORTING ACTOR,Harry Carey,False,Mr. Smith Goes to Washington
1939,BEST SUPPORTING ACTOR,Brian Donlevy,False,Beau Geste
1939,BEST SUPPORTING ACTOR,Claude Rains,False,Mr. Smith Goes to Washington
1940,BEST SUPPORTING ACTOR,Walter Brennan ,True,The Westerner
1940,BEST SUPPORTING ACTOR,Albert Bassermann,False,Foreign Correspondent
1940,BEST SUPPORTING ACTOR,William Gargan,False,They Knew What They Wanted
1940,BEST SUPPORTING ACTOR,Jack Oakie,False,The Great Dictator
1940,BEST SUPPORTING ACTOR,James Stephenson,False,The Letter
1941,BEST SUPPORTING ACTOR,Donald Crisp ,True,How Green Was My Valley
1941,BEST SUPPORTING ACTOR,Walter Brennan,False,Sergeant York
1941,BEST SUPPORTING ACTOR,Charles Coburn,False,The Devil and Miss Jones
1941,BEST SUPPORTING ACTOR,James Gleason,False,Here Comes Mr. Jordan
1941,BEST SUPPORTING ACTOR,Sydney Greenstreet,False,The Maltese Falcon
1942,BEST SUPPORTING ACTOR,Van Heflin ,True,Johnny Eager
1942,BEST SUPPORTING ACTOR,William Bendix,False,Wake Island
1942,BEST SUPPORTING ACTOR,Walter Huston,False,Yankee Doodle Dandy
1942,BEST SUPPORTING ACTOR,Frank Morgan,False,Tortilla Flat
1942,BEST SUPPORTING ACTOR,Henry Travers,False,Mrs. Miniver
1943,BEST SUPPORTING ACTOR,Charles Coburn ,True,The More the Merrier
1943,BEST SUPPORTING ACTOR,Charles Bickford,False,The Song of Bernadette
1943,BEST SUPPORTING ACTOR,J. Carrol Naish,False,Sahara
1943,BEST SUPPORTING ACTOR,Claude Rains,False,Casablanca
1943,BEST SUPPORTING ACTOR,Akim Tamiroff,False,For Whom the Bell Tolls
1944,BEST SUPPORTING ACTOR,Barry Fitzgerald ,True,Going My Way
1944,BEST SUPPORTING ACTOR,Hume Cronyn,False,The Seventh Cross
1944,BEST SUPPORTING ACTOR,Claude Rains,False,Mr. Skeffington
1944,BEST SUPPORTING ACTOR,Clifton Webb,False,Laura
1944,BEST SUPPORTING ACTOR,Monty Woolley,False,Since You Went Away
1945,BEST SUPPORTING ACTOR,James Dunn ,True,A Tree Grows in Brooklyn
1945,BEST SUPPORTING ACTOR,Michael Chekhov,False,Spellbound
1945,BEST SUPPORTING ACTOR,John Dall,False,The Corn Is Green
1945,BEST SUPPORTING ACTOR,Robert Mitchum,False,G. I. Joe
1945,BEST SUPPORTING ACTOR,J. Carrol Naish,False,A Medal for Benny
1946,BEST SUPPORTING ACTOR,Harold Russell ,True,The Best Years of Our Lives
1946,BEST SUPPORTING ACTOR,Charles Coburn,False,The Green Years
1946,BEST SUPPORTING ACTOR,William Demarest,False,The Jolson Story
1946,BEST SUPPORTING ACTOR,Claude Rains,False,Notorious
1946,BEST SUPPORTING ACTOR,Clifton Webb,False,The Razor's Edge
1947,BEST SUPPORTING ACTOR,Edmund Gwenn ,True,Miracle on 34th Street
1947,BEST SUPPORTING ACTOR,Charles Bickford,False,The Farmer's Daughter
1947,BEST SUPPORTING ACTOR,Thomas Gomez,False,Ride the Pink Horse
1947,BEST SUPPORTING ACTOR,Robert Ryan,False,Crossfire
1947,BEST SUPPORTING ACTOR,Richard Widmark,False,Kiss of Death
1948,BEST SUPPORTING ACTOR,Walter Huston ,True,The Treasure of the Sierra Madre
1948,BEST SUPPORTING ACTOR,Charles Bickford,False,Johnny Belinda
1948,BEST SUPPORTING ACTOR,José Ferrer,False,Joan of Arc
1948,BEST SUPPORTING ACTOR,Oscar Homolka,False,I Remember Mama
1948,BEST SUPPORTING ACTOR,Cecil Kellaway,False,The Luck of the Irish
1949,BEST SUPPORTING ACTOR,Dean Jagger ,True,Twelve O'Clock High
1949,BEST SUPPORTING ACTOR,John Ireland,False,All the King's Men
1949,BEST SUPPORTING ACTOR,Arthur Kennedy,False,Champion
1949,BEST SUPPORTING ACTOR,Ralph Richardson,False,The Heiress
1949,BEST SUPPORTING ACTOR,James Whitmore,False,Battleground
1950,BEST SUPPORTING ACTOR,George Sanders ,True,All About Eve
1950,BEST SUPPORTING ACTOR,Jeff Chandler,False,Broken Arrow
1950,BEST SUPPORTING ACTOR,Edmund Gwenn,False,Mister 880
1950,BEST SUPPORTING ACTOR,Sam Jaffe,False,The Asphalt Jungle
1950,BEST SUPPORTING ACTOR,Erich von Stroheim,False,Sunset Boulevard
1951,BEST SUPPORTING ACTOR,Karl Malden ,True,A Streetcar Named Desire
1951,BEST SUPPORTING ACTOR,Leo Genn,False,Quo Vadis
1951,BEST SUPPORTING ACTOR,Kevin McCarthy,False,Death of a Salesman
1951,BEST SUPPORTING ACTOR,Peter Ustinov,False,Quo Vadis
1951,BEST SUPPORTING ACTOR,Gig Young,False,Come Fill the Cup
1952,BEST SUPPORTING ACTOR,Anthony Quinn ,True,Viva Zapata!
1952,BEST SUPPORTING ACTOR,Richard Burton,False,My Cousin Rachel
1952,BEST SUPPORTING ACTOR,Arthur Hunnicutt,False,The Big Sky
1952,BEST SUPPORTING ACTOR,Victor McLaglen,False,The Quiet Man
1952,BEST SUPPORTING ACTOR,Jack Palance,False,Sudden Fear
1953,BEST SUPPORTING ACTOR,Frank Sinatra ,True,From Here to Eternity
1953,BEST SUPPORTING ACTOR,Eddie Albert,False,Roman Holiday
1953,BEST SUPPORTING ACTOR,Brandon deWilde,False,Shane
1953,BEST SUPPORTING ACTOR,Jack Palance,False,Shane
1953,BEST SUPPORTING ACTOR,Robert Strauss,False,Stalag 17
1954,BEST SUPPORTING ACTOR,Edmond O'Brien ,True,The Barefoot Contessa
1954,BEST SUPPORTING ACTOR,Lee J. Cobb,False,On the Waterfront
1954,BEST SUPPORTING ACTOR,Karl Malden,False,On the Waterfront
1954,BEST SUPPORTING ACTOR,Rod Steiger,False,On the Waterfront
1954,BEST SUPPORTING ACTOR,Tom Tully,False,The Caine Mutiny
1955,BEST SUPPORTING ACTOR,Jack Lemmon ,True,Mister Roberts
1955,BEST SUPPORTING ACTOR,Arthur Kennedy,False,Trial
1955,BEST SUPPORTING ACTOR,Joe Mantell,False,Marty
1955,BEST SUPPORTING ACTOR,Sal Mineo,False,Rebel Without a Cause
1955,BEST SUPPORTING ACTOR,Arthur O'Connell,False,Picnic
1956,BEST SUPPORTING ACTOR,Anthony Quinn ,True,Lust for Life
1956,BEST SUPPORTING ACTOR,Don Murray,False,Bus Stop
1956,BEST SUPPORTING ACTOR,Anthony Perkins,False,Friendly Persuasion
1956,BEST SUPPORTING ACTOR,Mickey Rooney,False,The Bold and the Brave
1956,BEST SUPPORTING ACTOR,Robert Stack,False,Written on the Wind
1957,BEST SUPPORTING ACTOR,Red Buttons ,True,Sayonara
1957,BEST SUPPORTING ACTOR,Vittorio De Sica,False,A Farewell to Arms
1957,BEST SUPPORTING ACTOR,Sessue Hayakawa,False,The Bridge on the River Kwai
1957,BEST SUPPORTING ACTOR,Arthur Kennedy,False,Peyton Place
1957,BEST SUPPORTING ACTOR,Russ Tamblyn,False,Peyton Place
1958,BEST SUPPORTING ACTOR,Burl Ives ,True,The Big Country
1958,BEST SUPPORTING ACTOR,Theodore Bikel,False,The Defiant Ones
1958,BEST SUPPORTING ACTOR,Lee J. Cobb,False,The Brothers Karamazov
1958,BEST SUPPORTING ACTOR,Arthur Kennedy,False,Some Came Running
1958,BEST SUPPORTING ACTOR,Gig Young,False,Teacher's Pet
1959,BEST SUPPORTING ACTOR,Hugh Griffith ,True,Ben-Hur
1959,BEST SUPPORTING ACTOR,Arthur O'Connell,False,Anatomy of a Murder
1959,BEST SUPPORTING ACTOR,George C. Scott,False,Anatomy of a Murder
1959,BEST SUPPORTING ACTOR,Robert Vaughn,False,The Young Philadelphians
1959,BEST SUPPORTING ACTOR,Ed Wynn,False,The Diary of Anne Frank
1960,BEST SUPPORTING ACTOR,Peter Ustinov ,True,Spartacus
1960,BEST SUPPORTING ACTOR,Peter Falk,False,"Murder, Inc."
1960,BEST SUPPORTING ACTOR,Jack Kruschen,False,The Apartment
1960,BEST SUPPORTING ACTOR,Sal Mineo,False,Exodus
1960,BEST SUPPORTING ACTOR,Chill Wills,False,The Alamo
1961,BEST SUPPORTING ACTOR,George Chakiris ,True,West Side Story
1961,BEST SUPPORTING ACTOR,Montgomery Clift,False,Judgment at Nuremberg
1961,BEST SUPPORTING ACTOR,Peter Falk,False,Pocketful of Miracles
1961,BEST SUPPORTING ACTOR,Jackie Gleason,False,The Hustler
1961,BEST SUPPORTING ACTOR,George C. Scott [A,False,The Hustler
1962,BEST SUPPORTING ACTOR,Ed Begley ,True,Sweet Bird of Youth
1962,BEST SUPPORTING ACTOR,Victor Buono,False,What Ever Happened to Baby Jane?
1962,BEST SUPPORTING ACTOR,Telly Savalas,False,Birdman of Alcatraz
1962,BEST SUPPORTING ACTOR,Omar Sharif,False,Lawrence of Arabia
1962,BEST SUPPORTING ACTOR,Terence Stamp,False,Billy Budd
1963,BEST SUPPORTING ACTOR,Melvyn Douglas ,True,Hud
1963,BEST SUPPORTING ACTOR,Nick Adams,False,Twilight of Honor
1963,BEST SUPPORTING ACTOR,Bobby Darin,False,"Captain Newman, M.D."
1963,BEST SUPPORTING ACTOR,Hugh Griffith,False,Tom Jones
1963,BEST SUPPORTING ACTOR,John Huston,False,The Cardinal
1964,BEST SUPPORTING ACTOR,Peter Ustinov ,True,Topkapi
1964,BEST SUPPORTING ACTOR,John Gielgud,False,Becket
1964,BEST SUPPORTING ACTOR,Stanley Holloway,False,My Fair Lady
1964,BEST SUPPORTING ACTOR,Edmond O'Brien,False,Seven Days in May
1964,BEST SUPPORTING ACTOR,Lee Tracy,False,The Best Man
1965,BEST SUPPORTING ACTOR,Martin Balsam ,True,A Thousand Clowns
1965,BEST SUPPORTING ACTOR,Ian Bannen,False,The Flight of the Phoenix
1965,BEST SUPPORTING ACTOR,Tom Courtenay,False,Doctor Zhivago
1965,BEST SUPPORTING ACTOR,Michael Dunn,False,Ship of Fools
1965,BEST SUPPORTING ACTOR,Frank Finlay,False,Othello
1966,BEST SUPPORTING ACTOR,Walter Matthau ,True,The Fortune Cookie
1966,BEST SUPPORTING ACTOR,Mako,False,The Sand Pebbles
1966,BEST SUPPORTING ACTOR,James Mason,False,Georgy Girl
1966,BEST SUPPORTING ACTOR,George Segal,False,Who's Afraid of Virginia Woolf?
1966,BEST SUPPORTING ACTOR,Robert Shaw,False,A Man for All Seasons
1967,BEST SUPPORTING ACTOR,George Kennedy ,True,Cool Hand Luke
1967,BEST SUPPORTING ACTOR,John Cassavetes,False,The Dirty Dozen
1967,BEST SUPPORTING ACTOR,Gene Hackman,False,Bonnie and Clyde
1967,BEST SUPPORTING ACTOR,Cecil Kellaway,False,Guess Who's Coming to Dinner
1967,BEST SUPPORTING ACTOR,Michael J. Pollard,False,Bonnie and Clyde
1968,BEST SUPPORTING ACTOR,Jack Albertson ,True,The Subject Was Roses
1968,BEST SUPPORTING ACTOR,Seymour Cassel,False,Faces
1968,BEST SUPPORTING ACTOR,Daniel Massey,False,Star!
1968,BEST SUPPORTING ACTOR,Jack Wild,False,Oliver!
1968,BEST SUPPORTING ACTOR,Gene Wilder,False,The Producers
1969,BEST SUPPORTING ACTOR,Gig Young ,True,"They Shoot Horses, Don't They?"
1969,BEST SUPPORTING ACTOR,Rupert Crosse,False,The Reivers
1969,BEST SUPPORTING ACTOR,Elliott Gould,False,Bob & Carol & Ted & Alice
1969,BEST SUPPORTING ACTOR,Jack Nicholson,False,Easy Rider
1969,BEST SUPPORTING ACTOR,Anthony Quayle,False,Anne of the Thousand Days
1970,BEST SUPPORTING ACTOR,John Mills ,True,Ryan's Daughter
1970,BEST SUPPORTING ACTOR,Richard S. Castellano,False,Lovers and Other Strangers
1970,BEST SUPPORTING ACTOR,Chief Dan George,False,Little Big Man
1970,BEST SUPPORTING ACTOR,Gene Hackman,False,I Never Sang for My Father
1970,BEST SUPPORTING ACTOR,John Marley,False,Love Story
1971,BEST SUPPORTING ACTOR,Ben Johnson ,True,The Last Picture Show
1971,BEST SUPPORTING ACTOR,Jeff Bridges,False,The Last Picture Show
1971,BEST SUPPORTING ACTOR,Leonard Frey,False,Fiddler on the Roof
1971,BEST SUPPORTING ACTOR,Richard Jaeckel,False,Sometimes a Great Notion
1971,BEST SUPPORTING ACTOR,Roy Scheider,False,The French Connection
1972,BEST SUPPORTING ACTOR,Joel Grey ,True,Cabaret
1972,BEST SUPPORTING ACTOR,Eddie Albert,False,The Heartbreak Kid
1972,BEST SUPPORTING ACTOR,James Caan,False,The Godfather
1972,BEST SUPPORTING ACTOR,Robert Duvall,False,The Godfather
1972,BEST SUPPORTING ACTOR,Al Pacino,False,The Godfather
1973,BEST SUPPORTING ACTOR,John Houseman ,True,The Paper Chase
1973,BEST SUPPORTING ACTOR,Vincent Gardenia,False,Bang the Drum Slowly
1973,BEST SUPPORTING ACTOR,Jack Gilford,False,Save the Tiger
1973,BEST SUPPORTING ACTOR,Jason Miller,False,The Exorcist
1973,BEST SUPPORTING ACTOR,Randy Quaid,False,The Last Detail
1974,BEST SUPPORTING ACTOR,Robert De Niro ,True,The Godfather Part II
1974,BEST SUPPORTING ACTOR,Fred Astaire,False,The Towering Inferno
1974,BEST SUPPORTING ACTOR,Jeff Bridges,False,Thunderbolt and Lightfoot
1974,BEST SUPPORTING ACTOR,Michael V. Gazzo,False,The Godfather Part II
1974,BEST SUPPORTING ACTOR,Lee Strasberg,False,The Godfather Part II
1975,BEST SUPPORTING ACTOR,George Burns ,True,The Sunshine Boys
1975,BEST SUPPORTING ACTOR,Brad Dourif,False,One Flew Over the Cuckoo's Nest
1975,BEST SUPPORTING ACTOR,Burgess Meredith,False,The Day of the Locust
1975,BEST SUPPORTING ACTOR,Chris Sarandon,False,Dog Day Afternoon
1975,BEST SUPPORTING ACTOR,Jack Warden,False,Shampoo
1976,BEST SUPPORTING ACTOR,Jason Robards ,True,All the President's Men
1976,BEST SUPPORTING ACTOR,Ned Beatty,False,Network
1976,BEST SUPPORTING ACTOR,Burgess Meredith,False,Rocky
1976,BEST SUPPORTING ACTOR,Laurence Olivier,False,Marathon Man
1976,BEST SUPPORTING ACTOR,Burt Young,False,Rocky
1977,BEST SUPPORTING ACTOR,Jason Robards ,True,Julia
1977,BEST SUPPORTING ACTOR,Mikhail Baryshnikov,False,The Turning Point
1977,BEST SUPPORTING ACTOR,Peter Firth,False,Equus
1977,BEST SUPPORTING ACTOR,Alec Guinness,False,Star Wars
1977,BEST SUPPORTING ACTOR,Maximilian Schell,False,Julia
1978,BEST SUPPORTING ACTOR,Christopher Walken ,True,The Deer Hunter
1978,BEST SUPPORTING ACTOR,Bruce Dern,False,Coming Home
1978,BEST SUPPORTING ACTOR,Richard Farnsworth,False,Comes a Horseman
1978,BEST SUPPORTING ACTOR,John Hurt,False,Midnight Express
1978,BEST SUPPORTING ACTOR,Jack Warden,False,Heaven Can Wait
1979,BEST SUPPORTING ACTOR,Melvyn Douglas ,True,Being There
1979,BEST SUPPORTING ACTOR,Robert Duvall,False,Apocalypse Now
1979,BEST SUPPORTING ACTOR,Frederic Forrest,False,The Rose
1979,BEST SUPPORTING ACTOR,Justin Henry,False,Kramer vs. Kramer
1979,BEST SUPPORTING ACTOR,Mickey Rooney,False,The Black Stallion
1980,BEST SUPPORTING ACTOR,Timothy Hutton ,True,Ordinary People
1980,BEST SUPPORTING ACTOR,Judd Hirsch,False,Ordinary People
1980,BEST SUPPORTING ACTOR,Michael O'Keefe,False,The Great Santini
1980,BEST SUPPORTING ACTOR,Joe Pesci,False,Raging Bull
1980,BEST SUPPORTING ACTOR,Jason Robards,False,Melvin and Howard
1981,BEST SUPPORTING ACTOR,John Gielgud ,True,Arthur
1981,BEST SUPPORTING ACTOR,James Coco,False,Only When I Laugh
1981,BEST SUPPORTING ACTOR,Ian Holm,False,Chariots of Fire
1981,BEST SUPPORTING ACTOR,Jack Nicholson,False,Reds
1981,BEST SUPPORTING ACTOR,Howard Rollins,False,Ragtime
1982,BEST SUPPORTING ACTOR,Louis Gossett Jr. ,True,An Officer and a Gentleman
1982,BEST SUPPORTING ACTOR,Charles Durning,False,The Best Little Whorehouse in Texas
1982,BEST SUPPORTING ACTOR,John Lithgow,False,The World According to Garp
1982,BEST SUPPORTING ACTOR,James Mason,False,The Verdict
1982,BEST SUPPORTING ACTOR,Robert Preston,False,Victor/Victoria
1983,BEST SUPPORTING ACTOR,Jack Nicholson ,True,Terms of Endearment
1983,BEST SUPPORTING ACTOR,Charles Durning,False,To Be or Not to Be
1983,BEST SUPPORTING ACTOR,John Lithgow,False,Terms of Endearment
1983,BEST SUPPORTING ACTOR,Sam Shepard,False,The Right Stuff
1983,BEST SUPPORTING ACTOR,Rip Torn,False,Cross Creek
1984,BEST SUPPORTING ACTOR,Haing S. Ngor ,True,The Killing Fields
1984,BEST SUPPORTING ACTOR,Adolph Caesar,False,A Soldier's Story
1984,BEST SUPPORTING ACTOR,John Malkovich,False,Places in the Heart
1984,BEST SUPPORTING ACTOR,Pat Morita,False,The Karate Kid
1984,BEST SUPPORTING ACTOR,Ralph Richardson ,False,"Greystoke: The Legend of Tarzan, Lord of the Apes"
1985,BEST SUPPORTING ACTOR,Don Ameche ,True,Cocoon
1985,BEST SUPPORTING ACTOR,Klaus Maria Brandauer,False,Out of Africa
1985,BEST SUPPORTING ACTOR,William Hickey,False,Prizzi's Honor
1985,BEST SUPPORTING ACTOR,Robert Loggia,False,Jagged Edge
1985,BEST SUPPORTING ACTOR,Eric Roberts,False,Runaway Train
1986,BEST SUPPORTING ACTOR,Michael Caine ,True,Hannah and Her Sisters
1986,BEST SUPPORTING ACTOR,Tom Berenger,False,Platoon
1986,BEST SUPPORTING ACTOR,Willem Dafoe,False,Platoon
1986,BEST SUPPORTING ACTOR,Denholm Elliott,False,A Room with a View
1986,BEST SUPPORTING ACTOR,Dennis Hopper,False,Hoosiers
1987,BEST SUPPORTING ACTOR,Sean Connery ,True,The Untouchables
1987,BEST SUPPORTING ACTOR,Albert Brooks,False,Broadcast News
1987,BEST SUPPORTING ACTOR,Morgan Freeman,False,Street Smart
1987,BEST SUPPORTING ACTOR,Vincent Gardenia,False,Moonstruck
1987,BEST SUPPORTING ACTOR,Denzel Washington,False,Cry Freedom
1988,BEST SUPPORTING ACTOR,Kevin Kline ,True,A Fish Called Wanda
1988,BEST SUPPORTING ACTOR,Alec Guinness,False,Little Dorrit
1988,BEST SUPPORTING ACTOR,Martin Landau,False,Tucker: The Man and His Dream
1988,BEST SUPPORTING ACTOR,River Phoenix,False,Running on Empty
1988,BEST SUPPORTING ACTOR,Dean Stockwell,False,Married to the Mob
1989,BEST SUPPORTING ACTOR,Denzel Washington ,True,Glory
1989,BEST SUPPORTING ACTOR,Danny Aiello,False,Do the Right Thing
1989,BEST SUPPORTING ACTOR,Dan Aykroyd,False,Driving Miss Daisy
1989,BEST SUPPORTING ACTOR,Marlon Brando,False,A Dry White Season
1989,BEST SUPPORTING ACTOR,Martin Landau,False,Crimes and Misdemeanors
1990,BEST SUPPORTING ACTOR,Joe Pesci ,True,Goodfellas
1990,BEST SUPPORTING ACTOR,Bruce Davison,False,Longtime Companion
1990,BEST SUPPORTING ACTOR,Andy García,False,The Godfather Part III
1990,BEST SUPPORTING ACTOR,Graham Greene,False,Dances with Wolves
1990,BEST SUPPORTING ACTOR,Al Pacino,False,Dick Tracy
1991,BEST SUPPORTING ACTOR,Jack Palance ,True,City Slickers
1991,BEST SUPPORTING ACTOR,Tommy Lee Jones,False,JFK
1991,BEST SUPPORTING ACTOR,Harvey Keitel,False,Bugsy
1991,BEST SUPPORTING ACTOR,Ben Kingsley,False,Bugsy
1991,BEST SUPPORTING ACTOR,Michael Lerner,False,Barton Fink
1992,BEST SUPPORTING ACTOR,Gene Hackman ,True,Unforgiven
1992,BEST SUPPORTING ACTOR,Jaye Davidson,False,The Crying Game
1992,BEST SUPPORTING ACTOR,Jack Nicholson,False,A Few Good Men
1992,BEST SUPPORTING ACTOR,Al Pacino,False,Glengarry Glen Ross
1992,BEST SUPPORTING ACTOR,David Paymer,False,Mr. Saturday Night
1993,BEST SUPPORTING ACTOR,Tommy Lee Jones ,True,The Fugitive
1993,BEST SUPPORTING ACTOR,Leonardo DiCaprio,False,What's Eating Gilbert Grape
1993,BEST SUPPORTING ACTOR,Ralph Fiennes,False,Schindler's List
1993,BEST SUPPORTING ACTOR,John Malkovich,False,In the Line of Fire
1993,BEST SUPPORTING ACTOR,Pete Postlethwaite,False,In the Name of the Father
1994,BEST SUPPORTING ACTOR,Martin Landau ,True,Ed Wood
1994,BEST SUPPORTING ACTOR,Samuel L. Jackson,False,Pulp Fiction
1994,BEST SUPPORTING ACTOR,Chazz Palminteri,False,Bullets over Broadway
1994,BEST SUPPORTING ACTOR,Paul Scofield,False,Quiz Show
1994,BEST SUPPORTING ACTOR,Gary Sinise,False,Forrest Gump
1995,BEST SUPPORTING ACTOR,Kevin Spacey ,True,The Usual Suspects
1995,BEST SUPPORTING ACTOR,James Cromwell,False,Babe
1995,BEST SUPPORTING ACTOR,Ed Harris,False,Apollo 13
1995,BEST SUPPORTING ACTOR,Brad Pitt,False,12 Monkeys
1995,BEST SUPPORTING ACTOR,Tim Roth,False,Rob Roy
1996,BEST SUPPORTING ACTOR,Cuba Gooding Jr. ,True,Jerry Maguire
1996,BEST SUPPORTING ACTOR,William H. Macy,False,Fargo
1996,BEST SUPPORTING ACTOR,Armin Mueller-Stahl,False,Shine
1996,BEST SUPPORTING ACTOR,Edward Norton,False,Primal Fear
1996,BEST SUPPORTING ACTOR,James Woods,False,Ghosts of Mississippi
1997,BEST SUPPORTING ACTOR,Robin Williams ,True,Good Will Hunting
1997,BEST SUPPORTING ACTOR,Robert Forster,False,Jackie Brown
1997,BEST SUPPORTING ACTOR,Anthony Hopkins,False,Amistad
1997,BEST SUPPORTING ACTOR,Greg Kinnear,False,As Good as It Gets
1997,BEST SUPPORTING ACTOR,Burt Reynolds,False,Boogie Nights
1998,BEST SUPPORTING ACTOR,James Coburn ,True,Affliction
1998,BEST SUPPORTING ACTOR,Robert Duvall,False,A Civil Action
1998,BEST SUPPORTING ACTOR,Ed Harris,False,The Truman Show
1998,BEST SUPPORTING ACTOR,Geoffrey Rush,False,Shakespeare in Love
1998,BEST SUPPORTING ACTOR,Billy Bob Thornton,False,A Simple Plan
1999,BEST SUPPORTING ACTOR,Michael Caine ,True,The Cider House Rules
1999,BEST SUPPORTING ACTOR,Tom Cruise,False,Magnolia
1999,BEST SUPPORTING ACTOR,Michael Clarke Duncan,False,The Green Mile
1999,BEST SUPPORTING ACTOR,Jude Law,False,The Talented Mr. Ripley
1999,BEST SUPPORTING ACTOR,Haley Joel Osment,False,The Sixth Sense
2000,BEST SUPPORTING ACTOR,Benicio del Toro ,True,Traffic
2000,BEST SUPPORTING ACTOR,Jeff Bridges,False,The Contender
2000,BEST SUPPORTING ACTOR,Willem Dafoe,False,Shadow of the Vampire
2000,BEST SUPPORTING ACTOR,Albert Finney,False,Erin Brockovich
2000,BEST SUPPORTING ACTOR,Joaquin Phoenix,False,Gladiator
2001,BEST SUPPORTING ACTOR,Jim Broadbent ,True,Iris
2001,BEST SUPPORTING ACTOR,Ethan Hawke,False,Training Day
2001,BEST SUPPORTING ACTOR,Ben Kingsley,False,Sexy Beast
2001,BEST SUPPORTING ACTOR,Ian McKellen,False,The Lord of the Rings: The Fellowship of the Ring
2001,BEST SUPPORTING ACTOR,Jon Voight,False,Ali
2002,BEST SUPPORTING ACTOR,Chris Cooper ,True,Adaptation.
2002,BEST SUPPORTING ACTOR,Ed Harris,False,The Hours
2002,BEST SUPPORTING ACTOR,Paul Newman,False,Road to Perdition
2002,BEST SUPPORTING ACTOR,John C. Reilly,False,Chicago
2002,BEST SUPPORTING ACTOR,Christopher Walken,False,Catch Me If You Can
2003,BEST SUPPORTING ACTOR,Tim Robbins ,True,Mystic River
2003,BEST SUPPORTING ACTOR,Alec Baldwin,False,The Cooler
2003,BEST SUPPORTING ACTOR,Benicio del Toro,False,21 Grams
2003,BEST SUPPORTING ACTOR,Djimon Hounsou,False,In America
2003,BEST SUPPORTING ACTOR,Ken Watanabe,False,The Last Samurai
2004,BEST SUPPORTING ACTOR,Morgan Freeman ,True,Million Dollar Baby
2004,BEST SUPPORTING ACTOR,Alan Alda,False,The Aviator
2004,BEST SUPPORTING ACTOR,Thomas Haden Church,False,Sideways
2004,BEST SUPPORTING ACTOR,Jamie Foxx,False,Collateral
2004,BEST SUPPORTING ACTOR,Clive Owen,False,Closer
2005,BEST SUPPORTING ACTOR,George Clooney ,True,Syriana
2005,BEST SUPPORTING ACTOR,Matt Dillon,False,Crash
2005,BEST SUPPORTING ACTOR,Paul Giamatti,False,Cinderella Man
2005,BEST SUPPORTING ACTOR,Jake Gyllenhaal,False,Brokeback Mountain
2005,BEST SUPPORTING ACTOR,William Hurt,False,A History of Violence
2006,BEST SUPPORTING ACTOR,Alan Arkin ,True,Little Miss Sunshine
2006,BEST SUPPORTING ACTOR,Jackie Earle Haley,False,Little Children
2006,BEST SUPPORTING ACTOR,Djimon Hounsou,False,Blood Diamond
2006,BEST SUPPORTING ACTOR,Eddie Murphy,False,Dreamgirls
2006,BEST SUPPORTING ACTOR,Mark Wahlberg,False,The Departed
2007,BEST SUPPORTING ACTOR,Javier Bardem ,True,No Country for Old Men
2007,BEST SUPPORTING ACTOR,Casey Affleck,False,The Assassination of Jesse James by the Coward Robert Ford
2007,BEST SUPPORTING ACTOR,Philip Seymour Hoffman,False,Charlie Wilson's War
2007,BEST SUPPORTING ACTOR,Hal Holbrook,False,Into the Wild
2007,BEST SUPPORTING ACTOR,Tom Wilkinson,False,Michael Clayton
2008,BEST SUPPORTING ACTOR,Heath Ledger ,True,The Dark Knight
2008,BEST SUPPORTING ACTOR,Josh Brolin,False,Milk
2008,BEST SUPPORTING ACTOR,Robert Downey Jr.,False,Tropic Thunder
2008,BEST SUPPORTING ACTOR,Philip Seymour Hoffman,False,Doubt
2008,BEST SUPPORTING ACTOR,Michael Shannon,False,Revolutionary Road
2009,BEST SUPPORTING ACTOR,Christoph Waltz ,True,Inglourious Basterds
2009,BEST SUPPORTING ACTOR,Matt Damon,False,Invictus
2009,BEST SUPPORTING ACTOR,Woody Harrelson,False,The Messenger
2009,BEST SUPPORTING ACTOR,Christopher Plummer,False,The Last Station
2009,BEST SUPPORTING ACTOR,Stanley Tucci,False,The Lovely Bones
2010,BEST SUPPORTING ACTOR,Christian Bale ,True,The Fighter
