771027996|Unknown|Jaume Collet-Serra|Drama, Horror, Mystery & Suspense|Feb 18, 2011|Jun 21, 2011|$63,677,735|PG-13 (for some intense sequences of violence and action, and brief sexual content)|113|Warner Bros. Pictures|Oliver Butcher, Stephen Cornwell|Dr. Martin Harris (Liam Neeson) awakens after a car accident in Berlin to discover that his wife (January Jones) suddenly doesn't recognize him and another man (Aidan Quinn) has assumed his identity. Ignored by disbelieving authorities and hunted by mysterious assassins, he finds himself alone, tired and on the run. Aided by an unlikely ally (Diane Kruger), Martin plunges headlong into a deadly mystery that will force him to question his sanity, his identity, and just how far he's willing to go to uncover the truth. -- (C) WB|5.8/10|199|110|89|5.8/10|45|26|19|3.4/5|75,748
771039382|Beneath Hill 60|Jeremy Sims|Art House & International, Drama|Aug 19, 2010|Jun 28, 2011|$454,950|R|122|Paramount Studios|David Roach|A weary platoon battles a powerful enemy in hopes of protecting a massive cache of explosives in this vivid World War I drama from director Jeremy Sims. ~ Jason Buchanan, Rovi|7.1/10|13|11|2|||||3.6/5|2,132
771039609|Red Riding Hood|Catherine Hardwicke|Horror, Romance|Mar 11, 2011|Jun 14, 2011|$37,200,000|PG-13 (for violence and creature terror, and some sensuality)|120|Warner Bros.|David Leslie Johnson-McGoldrick|Valerie (Amanda Seyfried) is a beautiful young woman torn between two men. She is in love with a brooding outsider Peter (Shiloh Fernandez), but her parents have arranged for her to marry the wealthy Henry (Max Irons). Unwilling to lose each other, Valerie and Peter are planning to run away together when they learn that Valerie's older sister has been killed by the werewolf that prowls the dark forest surrounding their village. For years, the people have maintained an uneasy truce with the beast, offering the creature a monthly animal sacrifice. But under a blood red moon, the wolf has upped the stakes by taking a human life. Hungry for revenge, the people call on famed werewolf hunter, Father Solomon (Gary Oldman), to help them kill the wolf. But Solomon's arrival brings unintended consequences as he warns that the wolf, who takes human form by day, could be any one of them. As the death toll rises with each moon, Valerie begins to suspect that the werewolf could be someone she loves. Panic grips the town as Valerie discovers that she has a unique connection to the beast-one that inexorably draws them together, making her both suspect...and bait.-- (C) Warner Bros.|3.7/10|202|21|181|3.7/10|42|2|40|2.9/5|75,307
771041144|Hall Pass|Matthew F. Leonetti, Peter Farrelly, Bobby Farrelly|Comedy|Feb 25, 2011|Jun 14, 2011|$45,045,037|R (for crude and sexual humor throughout, language, some graphic nudity and drug use)|106|Warner Bros. Pictures|Bobby Farrelly, Peter Farrelly, Kevin Barnett, Pete Jones|"Rick (Owen Wilson) and Fred (Jason Sudeikis) are best friends who have a lot in common, including the fact that they have each been married for many years. But when the two men begin to show signs of restlessness at home, their wives (Jenna Fischer, Christina Applegate) take a bold approach to revitalizing their marriages: granting them a ""hall pass,"" one week of freedom to do whatever they want...no questions asked. At first, it sounds like a dream come true for Rick and Fred. But it isn't long before they discover that their expectations of the single life-and themselves-are completely, and hilariously, out of sync with reality.-- (C) Warner Bros"|4.6/10|173|57|116|4.3/10|46|13|33|3/5|58,108
771048661|Chatroom|Hideo Nakata|Drama, Mystery & Suspense||Jun 14, 2011||R (for disturbing violent content, some sexual material and brief language)|97|Ruby Films|Enda Walsh|A handful of teenagers make the mistake of baring their souls to the wrong person in this thriller. Eva (Imogen Poots) is a young model whose good looks and poise disguise her aching doubts about herself and her wishes she could be more like others. Jim (Matthew Beard) is still wrestling with the demons brought on by a painful childhood and tries to beat back his fears with drugs. Emily (Hannah Murray) feels plain and unattractive and is filled with resentment towards her ambitious father and mother. And Mo (Daniel Kaluuya) struggles with his sexual desires for children, in particular the sister of a close friend. These four young people are frequent visitors to an internet chat room, where they can talk about their fears and anxieties while being drawn out by the compassionate moderator. But the man who runs the chat room is not all he seems. William (Aaron Johnson) is the unstable and neglected son of a successful author (Megan Dodds); he's grown to hate his more confident brother Ripley (Richard Madden) and has established the chat room in order to manipulate others to his own ends by getting them to share their secrets and using this knowledge against them. Chatroom was the second English-language feature from Japanese horror veteran Hideo Nakata. ~ Mark Deming, Rovi|3.5/10|23|2|21|||||2.7/5|4,068
771193483|Cedar Rapids|Miguel Arteta|Comedy|Feb 11, 2011|Jun 21, 2011|$6,800,000|R (for crude and sexual content, language and drug use)|87|Fox Searchlight Pictures|Phil Johnson, Phil Johnston|"To call insurance agent Tim Lippe (Ed Helms), ""naïve"" is a gross understatement. He's never left his small hometown. He's never stayed at a hotel. And he's never experienced anything like Cedar Rapids, Iowa. Sent to represent his company at the annual insurance convention, Tim is soon distracted by three convention veterans (John C. Reilly, Anne Heche and Isiah Whitlock Jr.) who will show him the ropes and push his boundaries. For a guy who plays everything by the book, this convention will be anything but conventional -- (C) Fox Searchlight"|6.7/10|163|140|23|6.7/10|43|37|6|3.3/5|26,102
771202932|Diary of a Wimpy Kid 2: Rodrick Rules|David Bowers|Comedy, Drama, Kids & Family|Mar 25, 2011|Jun 21, 2011|$52,691,009|PG (for some mild rude humor and mischief)|100|20th Century Fox|Jeff Judah, Gabe Sachs|"In this sequel to 2010's surprise hit, Greg Heffley, the kid who made ""wimpy"" cool is back in an all-new family comedy based on the best-selling follow-up novel by Jeff Kinney. (Kinney's Wimpy Kid series has thus far sold 42 million books.) As he begins seventh grade, Greg and his older brother - and chief tormentor - Rodrick must deal with their parents' misguided attempts to have them bond. -- (C) Fox"|5.4/10|99|47|52|5.1/10|29|13|16|3.5/5|33,347
771205013|Ceremony|Max Winkler|Comedy|Apr 8, 2011|Jun 21, 2011|$21,666|R (for some language, sexual references and drug use)|90|Magnolia Pictures|Max Winkler|Sam Davis (Michael Angarano) convinces his former best friend to spend a weekend with him to rekindle their friendship at an elegant beachside estate owned by a famous documentary filmmaker (Lee Pace). But it soon becomes clear that Sam is secretly infatuated with the filmmaker's fiancée, Zoe (Uma Thurman), and that his true intention is to thwart their impending nuptials. As Sam's plan begins to unravel, he is forced to realize how complicated love and friendship can be.--(c) Magnolia|4.9/10|35|14|21|4.4/10|11|2|9|2.8/5|2,426
771206815|Immigration Tango|David Burton Morris|Comedy|Feb 18, 2011|Jun 28, 2011|$23,812|R (for language and some sexual content)|92|Roadside Attractions|Martin L. Kelley, David Burton Morris, Todd Norwood, Robert Lee|When Elena, a Russian immigrant studying in Miami and Carlos her Columbian boyfriend run out of legal options for staying in the U.S. the couple switch partners with Betty and Mike, an American couple who are also their best friends. All is well until the stress of keeping up appearances to their family members and a savvy immigration enforcement agent eventually begins to take its toll. -- (C) Roadside Attractions|2.6/10|14|1|13|3.2/10|11|1|10|2.4/5|130
771207926|Legend of the Fist: The Return of Chen Zhen|Donnie Yen, Wai-keung Lau|Action & Adventure, Art House & International, Drama, Mystery & Suspense|Apr 22, 2011|Jun 14, 2011|$48,398|R (adult situations/language, violence)|113|Well Go/Variance Films|Cheung Chi Shing, Gordon Chan, Lui Koon Nam, Frankie Tam, Cheung Chi-Sing|"Legendary Kung Fu hero Chen Zhen is an iconic cultural mainstay in China and Hong Kong, having spawned both record-breaking feature films and a TV series. Over the years, martial arts legends such as Bruce Lee (FIST OF FURY) and Jet Li (FIST OF LEGEND) have played the popular hero. In LEGEND OF THE FIST: THE RETURN OF CHEN ZHEN, Donnie Yen continues this rich historical legacy, but with a brand new take on the urban legend. In 1920s China, the nation is divided by infighting. Japan has become the most powerful force in Asia, taking over Northern Shanghai. With the city torn in half by international conflict, the popular nightclub ""Casablanca"" has become a hotbed of spies, mobsters, English officials and the Japanese military- all looking to gain control of the country, with little regard for what happens to its citizens. Into this den of intrigue enters Chen Zhen (Donnie Yen), who has returned to China after fighting alongside the Allied forces in Europe, bringing some dark secrets from his past along with him. During the day, he's known as ""Ku"", and appears to be just another wealthy playboy. But at night, he takes to the street as a masked warrior, determined to subvert the Japanese invasion while becoming entangled with the sultry Kiki (Played by Shu Qi), who has a dangerous secret of her own. When his past catches up to him, Zhen is faced with near impossible odds- but his skills are formidable, and he's up to the challenge. Combining the best of today's martial arts and superhero action with the classic spy thrillers of the past (and a healthy dollop of film noir on top), LEGEND OF THE FIST is the rare action film that truly gives the audience something they've never seen before. --(c) Variance"|5.2/10|35|16|19|4.7/10|10|4|6|3.4/5|5,018
