770799339|Poltergeist|Gil Kenan|Horror|May 22, 2015|Sep 29, 2015|$39,918,054|PG-13 (for intense frightening sequences, brief suggestive material, and some language)|93|20th Century Fox|Steven Spielberg, David Lindsay-Abaire|"Legendary filmmaker Sam Raimi (""Spiderman,"" ""Evil Dead"", ""The Grudge"") and director Gil Kenan (""Monster House"") contemporize the classic tale about a family whose suburban home is haunted by evil forces. When the terrifying apparitions escalate their attacks and hold the youngest daughter captive, the family must come together to rescue her before she disappears forever. (C) Fox"|4.8/10|128|40|88|5.3/10|20|9|11|2.4/5|36,965
771264519|Electric Boogaloo: The Wild, Untold Story of Cannon Films|Mark Hartley|Documentary, Television|Jan 1, 2012|Sep 28, 2015||R (for strong sexual content, graphic nudity, violence including rape, language and some drug use)|107|Drafthouse Films|Mark Hartley|"From acclaimed cult film documentarian Mark Hartley (NOT QUITE HOLLYWOOD, MACHETE MAIDENS UNLEASHED), ELECTRIC BOOGALOO centres on the story of two movie-obsessed immigrant cousins, Menahem Golan and Yoram Globus, who in pursuit of the ""American dream"" founded an indie studio (Cannon) that would produce over 120 exploitation films from 1979-1989, launching the careers of numerous action stars including Chuck Norris, Jean-Claude Van Damme and Dolph Lundgren. Wildly eclectic, Golan and Globus also produced work by such luminaries as Franco Zeffirelli, John Cassavetes and Barbet Schroeder. With relentless energy and sheer nerve, the cousins turned a renegade outfit into a major Hollywood powerhouse.(C) Drafthosue"|7.4/10|43|39|4|||||3.8/5|708
771313962|Avengers: Age of Ultron|Joss Whedon|Action & Adventure, Science Fiction & Fantasy|May 1, 2015|Oct 2, 2015|$429,113,729|PG-13 (for intense sequences of sci-fi action, violence and destruction, and for some suggestive comments)|141|Walt Disney Pictures|Stan Lee, Jack Kirby, Joss Whedon|When Tony Stark jumpstarts a dormant peacekeeping program, things go awry and Earth's Mightiest Heroes, including Iron Man, Captain America, Thor, The Incredible Hulk, Black Widow and Hawkeye, are put to the ultimate test as they battle to save the planet from destruction at the hands of the villainous Ultron.|6.7/10|345|258|87|6.4/10|54|39|15|4/5|286,542
771325713|Blumenthal|Seth Fisher|Comedy|Mar 28, 2014|Sep 22, 2015||NR|86|Gone Fishing Pictures|Seth Fisher|Celebrated playwright, Harold Blumenthal, has passed away after succumbing to cardiac arrest while laughing at his own joke. Now, Harold's estranged and jealous brother, Saul, must confront his personal hang-ups to deliver himself from an epic bout of constipation. Meanwhile, Saul's wife Cheryl and son Ethan must grapple with their own personal obstacles through a set of circumstances so improbably ironic they might as well have been lifted from one of Harold's plays. (c) Official Site|5/10|9|5|4|5/10|7|3|4|3.1/5|94
771356696|Pitch Perfect 2|Elizabeth Banks|Comedy, Musical & Performing Arts|May 15, 2015|Sep 22, 2015|$165,744,048|PG-13 (for innuendo and language)|114|Universal Pictures|Mickey Rapkin, Kay Cannon|Surprise hit Pitch Perfect gets sequelized in this Universal Pictures production once again scripted by Kay Cannon. ~ Jeremy Wheeler, Rovi|6/10|205|133|72|6/10|44|24|20|3.6/5|79,330
771357114|The Connection|Cédric Jimenez|Action & Adventure, Documentary, Mystery & Suspense|May 15, 2015|Sep 29, 2015|$128,657|R (for strong violence, drug content and language)|135|Drafthouse Films|Cédric Jimenez, Audrey Diwan|"Directed and co-written by Cédric Jimenez, THE CONNECTION was entirely shot on 35 mm and is the European flipside to William Friedkin's The French Connection. A stylish, 70's-period crime thriller inspired by true events, it tells the story of real-life Marseilles magistrate Pierre Michel (Jean Dujardin) and his relentless crusade to dismantle the most notorious drug smuggling operation in history: the French Connection. In his crosshairs is charismatic and wealthy kingpin, Gatean ""Tany"" Zampa (Gilles Lellouche), who runs the largest underground heroin trade into the States. Though the fearless and tenacious Michel, aided by a task force of elite cops, will stop at nothing--including boldly orchestrated drug raids, devastating arrests, and exacting interrogations--to ensure the crime ring's demise, Zampa's ""La French"" always seems one step ahead. As La French mounts its retaliation, Michel will be forced to make the most difficult decision of his life: to continue waging his war, or ensure his family's safety, before it's too late. (C) Drafthouse"|6.5/10|70|54|16|6.7/10|20|17|3|3.6/5|1,869
771357428|Return to Sender|Fouad Mikati|Mystery & Suspense|Aug 14, 2015|Sep 29, 2015||NR|105|RLJE/Image Entertainment|Patricia Beauchamp, Joe Gossett|Miranda (Academy Award nominee Rosamund Pike, Gone Girl) is a dedicated nurse, an exquisite cake maker and an impeccable friend. But when she agrees to a blind date and the wrong man comes to her door...her perfect world is shattered by a brutal assault. Even after her attacker, William (Shiloh Fernandez, Evil Dead), is convicted and locked away for the crime, Miranda can't overcome the fear and trauma enough to put her orderly life back together. Desperate for closure, she reaches out to William - first through letters, then prison visits - and slowly builds a relationship with him. But when William is paroled and comes looking for her, Miranda seizes the opportunity to exact revenge. (C) RLJE/Image Entertainment|3.2/10|32|4|28|2.4/10|7|0|7|2.5/5|2,508
771361497|Spy|Paul Feig|Comedy|Jun 5, 2015|Sep 29, 2015|$89,914,425|R (for language throughout, violence, and some sexual content including brief graphic nudity)|117|20th Century Fox|Paul Feig|Susan Cooper (Melissa McCarthy) is an unassuming, deskbound CIA analyst, and the unsung hero behind the Agency's most dangerous missions. But when her partner (Jude Law) falls off the grid and another top agent (Jason Statham) is compromised, she volunteers to go deep undercover to infiltrate the world of a deadly arms dealer, and prevent a global disaster. (C) Fox|7.3/10|245|231|14|7/10|45|41|4|3.9/5|82,541
771370467|Entourage|Doug Ellin|Comedy|Jun 3, 2015|Sep 29, 2015||R (for pervasive language, strong sexual content, nudity and some drug use)|105|Warner Bros. Pictures|Rob Weiss, Doug Ellin|"Entourage,"" the much-anticipated big-screen version of the award-winning hit HBO series, reunites the show's original cast, led by Kevin Connolly, Adrian Grenier, Kevin Dillon, Jerry Ferrara and Jeremy Piven. Movie star Vincent Chase (Grenier), together with his boys, Eric (Connolly), Turtle (Ferrara) and Johnny (Dillon), are back...and back in business with super agent-turned-studio head Ari Gold (Piven). Some of their ambitions have changed, but the bond between them remains strong as they navigate the capricious and often cutthroat world of Hollywood. (C) WB"|4.7/10|202|66|136|4.2/10|40|9|31|3.4/5|30,538
771373732|Saint Laurent|Bertrand Bonello|Art House & International, Drama, Special Interest|May 8, 2015|Sep 22, 2015||R (for graphic nudity/strong sexual situations, substance abuse throughout and some language)|135|Sony Pictures Classics|Bertrand Bonello, Thomas Bidegain|1967-1976 As one of history's greatest fashion designers entered a decade of freedom, neither came out of it in one piece.(C) Sony Classics|5.8/10|84|50|34|5.8/10|30|16|14|2.9/5|1,955
