771387764|American Heist|Sarik Andreasyan|Action & Adventure, Drama|Jul 24, 2015|Sep 8, 2015||R (for strong violence, pervasive language, some sexual material and brief drug use)|94|Lionsgate|Raul Inglis|James owes his life to his older brother, Frankie after taking the rap for a crime they committed together. While Frankie served time, James worked to turn his life around, got a steady job and began courting his former girlfriend Emily. Now, Frankie is released and back on the streets with no money and no place to go. He turns to his underworld connections and convinces James to join him in hopes that one last job will be the solution to change both their lives.|3.6/10|16|2|14|3.8/10|6|0|6|2.3/5|1,977
771387966|Good Kill|Andrew Niccol|Mystery & Suspense|May 15, 2015|Sep 1, 2015||R (for violent content inckluding a rape, language, and some sexuality)|103|IFC Films|Andrew Niccol|In the shadowy world of drone warfare, combat unfolds like a video game-only with real lives at stake. After six tours of duty, Air Force pilot Tom Egan (Ethan Hawke) yearns to get back into the cockpit of a real plane, but he now fights theTaliban from an air-conditioned box in the Las Vegas desert. When he and his crew start taking orders directly from the CIA, and the stakes are raised, Egan's nerves-and his relationship with his wife (Mad Men's January Jones)-begin to unravel. Revealing the psychological toll drone pilots endure as they are forced to witness the aftermath of their fight against insurgents, Andrew Niccol (Gattaca, Lord of War) directs this riveting insider's view of 21st-century warfare, in which operatives target enemies from half a world away. (C) IFC Films|6.4/10|121|91|30|6.3/10|34|25|9|3.2/5|8,927
771387968|Heaven Knows What|Benny Safdie, Joshua Safdie|Drama|May 29, 2015|Sep 15, 2015|$80,013|R (for drug use throughout, pervasive language, disturbing and violent images, sexuality, and graphic nudity)|94|Radius|Joshua Safdie, Ronald Bronstein|Directed by celebrated filmmakers Josh and Benny Safdie (LENNY COOKE, DADDY LONGLEGS), HEAVEN KNOWS WHAT blends fiction, formalism and raw documentary as it follows a young heroin addict (Arielle Holmes) who finds mad love in the streets of New York. The film is based on Holmes' soon-to-be-published memoir Mad Love in New York City. Co starring Caleb Landry-Jones (X-MEN: FIRST CLASS, BYZANTIUM), HEAVEN KNOWS WHAT also features street legend Buddy Duress and gore rap phenom Necro. (C) TWC Radius|7.4/10|69|60|9|7.7/10|25|22|3|3.4/5|2,998
771387998|Paper Planes|Robert Connolly|Drama, Kids & Family||Sep 8, 2015|$5,762,910|NR|96|Arenamedia|Steve Worland, Robert Connolly|An imaginative children's film about a young Australian boy's passion for flight and his challenge to compete in the World Paper Plane Championships in Japan.|6.2/10|24|20|4|||||3.5/5|2,429
771388076|Urok (The Lesson)|Kristina Grozeva, Petar Valchanov|Art House & International, Drama|Mar 4, 2015|Sep 1, 2015|$1,801|NR|105|Film Movement|Kristina Grozeva, Petar Valchanov|In a small Bulgarian town, Nade is an honest, hard-working elementary school teacher struggling to keep her life together. Her unemployed, alcoholic husband has secretly spent their mortgage payements on booze, and now the bank is threatening to auction off the house where they live with their young daughter. The agency where she translates legal documents to English for extra cash is going under and unable to pay her what she's due, and a thief in her class has stolen the last few dollars out of her purse. With few options left, she solicits help from a local loan shark who is happy to give her what she needs at a steep price. With the reposession looming, Nade will resort to measures her former self, untouched by the realities of economic desperation and moral compromise, would have found depraved, as she makes one last extreme effort to secure the money she needs. (C) Film Movement|7.3/10|23|19|4|6.7/10|8|5|3|3.7/5|183
771390795|Red Knot|Scott Cohen|Drama|Dec 5, 2014|Sep 15, 2015||NR|80|Thunder Perfect Mind|Scott Cohen|Peter and Chloe, a young married couple from New York, decide on impulse to take a belated honeymoon on-board a research vessel en route to the icy wastes of Antarctica. Not long into the journey, Chloe begins to feel neglected and betrayed by Peter, who is focused on gathering information for an article he plans to publish on their return about the work of one of their fellow passengers, the whale biologist Roger Payne. After an unforgivable betrayal of trust by Peter, Chloe turns their fledgling marriage upside down by moving into her own room and staking out her independence onboard the ship. Drawing attention to the poles within each of us, the impressionistic story oscillates between the super-confined interiors of the ship and the vast open spaces of Antarctica. In the end, it's not until Chloe and Peter are lost - perhaps literally, perhaps metaphorically - in the Antarctic ice that they discover how essential one is to the other.|6.8/10|9|8|1|||||2.8/5|199
771399015|Reality (Réalité)|Quentin Dupieux|Drama|May 1, 2015|Sep 14, 2015||NR|87|IFC Films|Quentin Dupieux|Jason, a quiet cameraman, dreams of directing his first horror movie. Bob Marshal, a wealthy producer, accepts to finance his movie on one condition: Jason has 48 hours to find the perfect scream in the history of film. During his search, Jason gradually gets lost in a nightmare.|6.1/10|25|16|9|7.5/10|9|6|3|3.5/5|444
771410742|The Other Man: F.W. de Klerk and the End of Apartheid|Nicolas Rossier|Documentary|Feb 6, 2015|Sep 21, 2015|$1,153|NR|75|First Run Features|Nicolas Rossier|Featuring in-depth interviews with F.W. de Klerk, former South African president Thabo Mbeki (1999-2008), anti-apartheid activists Father Michael Lapsley and Mathews Phosa, Yasmin Sooka of the Truth and Reconciliation Commission, Richard Goldstone (who headed the Goldstone Commission investigations into political violence) and many others, filmmaker Nic Rossier explores the fascinating political journey and legacy of this complex figure. Nations mired in conflict and recovering from civil war will benefit from better understanding this flawed, yet ultimately successful political leader that managed to bridge two opposing worlds. Ultimately, The Other Man explores the trajectory of this unique nation and reflects on how the end of apartheid will CONTINUE to shape South Africans and the world for years to come. (C) First Run Features|5/10|6|3|3|||||2.6/5|72
771412081|The Overnight|Patrick Brice|Comedy|Jun 19, 2015|Sep 15, 2015|$1,109,808|R (for strong sexuality, graphic nudity, language and drug use)|80|The Orchard|Patrick Brice|"Alex (Adam Scott), Emily (Taylor Schilling), and their son, RJ, have recently moved to​ ​Los Angeles' Eastside from Seattle. Feeling lost in a new city, they are desperate to find their first new friends. After a chance meeting with Kurt (Jason Schwartzman) at the neighborhood park, they gladly agree to join family pizza night at the home. But as it gets later and the kids go to bed, the family ""playdate"" becomes increasingly more revealing and bizarre as the couples begin to​ ​open up. (C) The Orchard"|6.9/10|124|102|22|6.6/10|31|25|6|3.3/5|10,016
771412380|Nightingale|Elliott Lester|Drama, Mystery & Suspense||Sep 15, 2015||PG-13|83|Plan B Films|Frederick Mensch|A man's mental health deteriorates at a rapid pace after an unspeakable tragedy inside his mother's home on a quiet suburban street.|6.7/10|21|17|4|7.3/10|15|13|2|3.5/5|425
