nconst,primaryName,primaryProfession,knownForTitles
nm0000066,Jane Russell,"actress,soundtrack,producer","tt0045177,tt0045810,tt0043643,tt0043476"
nm0000067,Miklós Rózsa,"music_department,composer,soundtrack","tt0054847,tt0038109,tt0036775,tt0052618"
nm0000068,Randolph Scott,"actor,producer,soundtrack","tt0026942,tt0049743,tt0051047,tt0056412"
nm0000069,Frank Sinatra,"soundtrack,actor,producer","tt0045793,tt0056218,tt0052218,tt0050815"
nm0000070,Max Steiner,"music_department,composer,soundtrack","tt0031381,tt0040897,tt0034583,tt0036613"
nm0000071,James Stewart,"actor,soundtrack,director","tt0032904,tt0031679,tt0052561,tt0052357"
nm0000072,Elizabeth Taylor,"actress,soundtrack,producer","tt0061184,tt0051459,tt0056937,tt0053318"
nm0000073,Shirley Temple,"actress,soundtrack,writer","tt0032264,tt0030657,tt0040369,tt0027421"
nm0000074,Gene Tierney,"actress,soundtrack","tt0038492,tt0039420,tt0037008,tt0037865"
nm0000075,Spencer Tracy,"actor,soundtrack","tt0053946,tt0055031,tt0057193,tt0061735"
nm0000076,François Truffaut,"writer,director,producer","tt0055032,tt0075860,tt0070460,tt0053198"
nm0000077,Franz Waxman,"music_department,composer,soundtrack","tt0032976,tt0043924,tt0043014,tt0034248"
nm0000078,John Wayne,"actor,producer,soundtrack","tt0057298,tt0065126,tt0056217,tt0053580"
nm0000079,Raquel Welch,"actress,soundtrack,producer","tt0250494,tt0072281,tt0060397,tt0070291"
nm0000080,Orson Welles,"actor,director,writer","tt0059012,tt0033467,tt0052311,tt0057427"
nm0000081,Natalie Wood,"actress,soundtrack,music_department","tt0057263,tt0055614,tt0055471,tt0048545"
nm0000082,Victor Young,"music_department,soundtrack,composer","tt0045061,tt0090756,tt3315342,tt0119094"
nm0000084,Li Gong,actress,"tt0473444,tt0101640,tt0397535,tt0430357"
nm0000090,Armin Mueller-Stahl,"actor,director,writer","tt0117631,tt0963178,tt0139809,tt0765443"
nm0000092,John Cleese,"actor,writer,producer","tt0063929,tt0071853,tt0095159,tt0085959"
nm0000093,Brad Pitt,"actor,producer,soundtrack","tt0114746,tt0421715,tt1210166,tt0356910"
nm0000095,Woody Allen,"writer,director,actor","tt0091167,tt0075686,tt0079522,tt0097123"
nm0000096,Gillian Anderson,"actress,producer,soundtrack","tt2294189,tt0455590,tt0442632,tt0106179"
nm0000098,Jennifer Aniston,"actress,producer,soundtrack","tt1038919,tt3442006,tt0108778,tt1723121"
nm0000099,Patricia Arquette,"actress,director,soundtrack","tt0412175,tt0145531,tt0108399,tt1065073"
nm0000100,Rowan Atkinson,"actor,writer,producer","tt0109831,tt0110357,tt0274166,tt0118689"
nm0000101,Dan Aykroyd,"writer,actor,producer","tt0097428,tt0087332,tt0080455,tt0118747"
nm0000102,Kevin Bacon,"actor,producer,soundtrack","tt0327056,tt0361127,tt0164052,tt0087277"
nm0000103,Fairuza Balk,"actress,soundtrack","tt0181875,tt0115963,tt0089908,tt0120586"
nm0000104,Antonio Banderas,"actor,soundtrack,producer","tt0120657,tt0120746,tt0285823,tt1189073"
nm0000105,Adrienne Barbeau,"actress,writer,soundtrack","tt1024648,tt0090685,tt0082340,tt0080749"
nm0000106,Drew Barrymore,"producer,actress,soundtrack","tt0120888,tt0120631,tt0343660,tt0151738"
nm0000107,Kim Basinger,"actress,soundtrack,producer","tt0096895,tt0119488,tt0337921,tt0109890"
nm0000108,Luc Besson,"writer,producer,director","tt0110413,tt0100263,tt2872732,tt0119116"
nm0000110,Kenneth Branagh,"actor,producer,director","tt3402236,tt0116477,tt0107616,tt0097499"
nm0000111,Matthew Broderick,"actor,soundtrack,director","tt0395251,tt0115798,tt0086567,tt0091042"
nm0000112,Pierce Brosnan,"actor,producer,soundtrack","tt0120347,tt0143145,tt0113189,tt0795421"
nm0000113,Sandra Bullock,"producer,actress,soundtrack","tt1041829,tt1454468,tt0111257,tt0212346"
nm0000114,Steve Buscemi,"actor,director,producer","tt0162346,tt0116282,tt0105236,tt4686844"
nm0000115,Nicolas Cage,"actor,producer,soundtrack","tt0117500,tt0113627,tt0435705,tt0119094"
nm0000116,James Cameron,"writer,producer,director","tt0090605,tt0120338,tt0499549,tt0103064"
nm0000117,Neve Campbell,"actress,producer,soundtrack","tt0120082,tt0134084,tt0117571,tt1262416"
nm0000118,John Carpenter,"soundtrack,writer,music_department","tt0082340,tt0093777,tt0077651,tt0080749"
nm0000119,Tia Carrere,"actress,soundtrack,producer","tt0105793,tt0111503,tt0275847,tt0207919"
nm0000120,Jim Carrey,"actor,writer,producer","tt0120382,tt0338013,tt0315327,tt0109040"
nm0000122,Charles Chaplin,"writer,soundtrack,actor","tt0044837,tt0039631,tt0032553,tt0027977"
nm0000123,George Clooney,"actor,producer,director","tt0465538,tt1124035,tt2177771,tt1193138"
nm0000124,Jennifer Connelly,actress,"tt0315983,tt0102803,tt0180093,tt0268978"
nm0000125,Sean Connery,"actor,producer,soundtrack","tt0094226,tt0059800,tt0058150,tt0117500"
nm0000126,Kevin Costner,"actor,producer,soundtrack","tt0099348,tt0102798,tt0103855,tt0119925"
nm0000127,Wes Craven,"writer,producer,director","tt0111686,tt0117571,tt0087800,tt0105121"
nm0000128,Russell Crowe,"actor,soundtrack,producer","tt0268978,tt0119488,tt0172495,tt1707386"
nm0000129,Tom Cruise,"actor,producer,soundtrack","tt0325710,tt0092099,tt0120755,tt0116695"
nm0000130,Jamie Lee Curtis,"actress,producer,director","tt0095159,tt1502407,tt0111503,tt0322330"
nm0000131,John Cusack,"actor,producer,writer","tt0450385,tt0146882,tt0098258,tt0119229"
nm0000132,Claire Danes,"actress,producer,soundtrack","tt0274558,tt0117509,tt0108872,tt1796960"
nm0000133,Geena Davis,"actress,producer,soundtrack","tt0164912,tt0116908,tt0103074,tt0091064"
nm0000134,Robert De Niro,"actor,producer,soundtrack","tt0075314,tt0081398,tt0101540,tt0070379"
nm0000136,Johnny Depp,"actor,producer,soundtrack","tt0408236,tt0325980,tt0383574,tt0449088"
nm0000137,Bo Derek,"actress,producer,miscellaneous","tt0114694,tt0083170,tt0099656,tt0086987"
nm0000138,Leonardo DiCaprio,"actor,producer,writer","tt1375666,tt0120338,tt0407887,tt0993846"
nm0000139,Cameron Diaz,"actress,producer,soundtrack","tt0119738,tt0129387,tt0160127,tt0259711"
nm0000140,Michael Douglas,"actor,producer,soundtrack","tt0103772,tt0093010,tt0094291,tt1291580"
nm0000141,David Duchovny,"actor,producer,director","tt0106179,tt0443701,tt0904208,tt0120902"
nm0000142,Clint Eastwood,"actor,producer,director","tt0112579,tt1205489,tt0405159,tt0105695"
nm0000144,Cary Elwes,"actor,producer,director","tt0387564,tt0119468,tt0107977,tt0093779"
nm0000145,Sherilyn Fenn,"actress,soundtrack","tt0092240,tt0100935,tt0105046,tt0098936"
nm0000146,Ralph Fiennes,"actor,director,soundtrack","tt2278388,tt0108052,tt0387131,tt1201607"
nm0000147,Colin Firth,"actor,producer,soundtrack","tt1504320,tt0243155,tt2802144,tt1315981"
nm0000148,Harrison Ford,"actor,writer,producer","tt0106977,tt0082971,tt0090329,tt0118571"
nm0000149,Jodie Foster,"actress,director,producer","tt0094608,tt0075314,tt0102926,tt0118884"
nm0000150,Michael J. Fox,"actor,producer,miscellaneous","tt0099088,tt0096874,tt0088763,tt0116365"
nm0000151,Morgan Freeman,"actor,producer,soundtrack","tt0405159,tt0097239,tt0114369,tt1057500"
nm0000152,Richard Gere,"actor,soundtrack,producer","tt0100405,tt0299658,tt0358135,tt0119395"
nm0000153,Gina Gershon,"actress,soundtrack,producer","tt1726669,tt0095963,tt0114436,tt0115736"
nm0000154,Mel Gibson,"actor,producer,director","tt0104714,tt0286106,tt0117438,tt0112573"
nm0000155,Whoopi Goldberg,"actress,producer,writer","tt0099653,tt0108147,tt0088939,tt0105417"
nm0000156,Jeff Goldblum,"actor,soundtrack,producer","tt2278388,tt0091064,tt0107290,tt0116629"
nm0000157,Linda Hamilton,actress,"tt0118928,tt0103064,tt0092319,tt0088247"
nm0000158,Tom Hanks,"producer,actor,soundtrack","tt0109830,tt0120815,tt0162222,tt0094737"
nm0000159,Teri Hatcher,"actress,soundtrack,writer","tt0120347,tt0106057,tt0410975,tt0327597"
nm0000160,Ethan Hawke,"actor,writer,director","tt0381681,tt2209418,tt0112471,tt0139654"
nm0000161,Salma Hayek,"actress,producer,soundtrack","tt0120891,tt0120679,tt1615065,tt0112851"
nm0000162,Anne Heche,"actress,writer,producer","tt0120885,tt0119008,tt0120828,tt0251160"
nm0000163,Dustin Hoffman,"actor,producer,soundtrack","tt0064665,tt0061722,tt0095953,tt0084805"
nm0000164,Anthony Hopkins,"actor,soundtrack,composer","tt0102926,tt0975645,tt0412080,tt0212985"
nm0000165,Ron Howard,"actor,producer,director","tt0870111,tt0367279,tt0268978,tt0112384"
nm0000166,Helen Hunt,"actress,producer,director","tt0162222,tt0119822,tt0103484,tt0117998"
nm0000167,Elizabeth Hurley,"actress,producer","tt0230030,tt0118655,tt0145660,tt0105104"
nm0000168,Samuel L. Jackson,"actor,producer,soundtrack","tt0417148,tt3460252,tt0110912,tt0119396"
nm0000169,Tommy Lee Jones,"actor,director,soundtrack","tt2398231,tt0106977,tt0443272,tt0477348"
nm0000170,Milla Jovovich,"actress,soundtrack,composer","tt1220198,tt0119116,tt0432021,tt1220634"
nm0000171,Ashley Judd,"actress,producer,director","tt0113277,tt0150377,tt0470705,tt0120679"
nm0000172,Harvey Keitel,"actor,producer,soundtrack","tt0103759,tt0105236,tt2278388,tt0110912"
nm0000173,Nicole Kidman,"actress,producer,soundtrack","tt0230600,tt0159365,tt0203009,tt0274558"
nm0000174,Val Kilmer,"actor,soundtrack,producer","tt0373469,tt0120053,tt0101761,tt0235737"
nm0000175,Stephen King,"writer,producer,actor","tt0120689,tt0091499,tt0083767,tt0111161"
nm0000176,Nastassja Kinski,"actress,producer,soundtrack","tt0111400,tt0087884,tt0083722,tt0080009"
nm0000177,Kevin Kline,"actor,soundtrack,director","tt0095159,tt0119360,tt0120891,tt0113117"
nm0000178,Diane Lane,"actress,soundtrack","tt2096673,tt0770828,tt0250797,tt0328589"
nm0000179,Jude Law,"actor,producer,soundtrack","tt0376541,tt2278388,tt0134119,tt0346156"
nm0000180,David Lean,"editor,director,writer","tt0056172,tt0050212,tt0037558,tt0059113"
nm0000181,Heather Locklear,"actress,producer,soundtrack","tt0087262,tt0119695,tt0380623,tt0103491"
nm0000182,Jennifer Lopez,"actress,producer,soundtrack","tt3181822,tt0299930,tt0209958,tt0252076"
nm0000183,Traci Lords,"actress,soundtrack,producer","tt1984153,tt0099329,tt0120611,tt1007028"
nm0000184,George Lucas,"writer,producer,director","tt0082971,tt0069704,tt0066434,tt0076759"
nm0000185,Dolph Lundgren,"actor,producer,director","tt0089927,tt1764651,tt0113481,tt0105698"
nm0000186,David Lynch,"writer,director,producer","tt0460829,tt0166924,tt0098936,tt0105665"
nm0000187,Madonna,"soundtrack,actress,music_department","tt0156841,tt0116250,tt0246460,tt0099422"
nm0000188,Steve Martin,"writer,actor,soundtrack","tt0102250,tt0079367,tt0131325,tt0093886"
nm0000189,Jenny McCarthy,"actress,producer,writer","tt0134084,tt0455967,tt0327643,tt0131857"
nm0000190,Matthew McConaughey,"actor,producer,soundtrack","tt0790636,tt1935179,tt1726669,tt1915581"
nm0000191,Ewan McGregor,"actor,writer,soundtrack","tt0120915,tt0117951,tt0203009,tt1322269"
nm0000192,Alyssa Milano,"actress,producer,soundtrack","tt0086827,tt0116287,tt0158552,tt0088944"
nm0000193,Demi Moore,"actress,producer,director","tt0119173,tt0117765,tt0305357,tt0107211"
nm0000194,Julianne Moore,"actress,soundtrack,producer","tt3316960,tt2172584,tt0842926,tt0274558"
nm0000195,Bill Murray,"actor,soundtrack,writer","tt0128445,tt0335266,tt0362270,tt1748122"
nm0000196,Mike Myers,"actor,writer,soundtrack","tt0145660,tt0295178,tt0118655,tt0811138"
nm0000197,Jack Nicholson,"actor,soundtrack,producer","tt0071315,tt0073486,tt0119822,tt0407887"
nm0000198,Gary Oldman,"actor,soundtrack,producer","tt4555426,tt1340800,tt0468569,tt0091954"
nm0000199,Al Pacino,"actor,soundtrack,director","tt0072890,tt0070666,tt0099422,tt0068646"
nm0000200,Bill Paxton,"actor,producer,writer","tt0264616,tt0117998,tt0112384,tt0090605"
nm0000201,Michelle Pfeiffer,"actress,soundtrack,producer","tt0117247,tt0161081,tt0094947,tt0427327"
nm0000202,Ryan Phillippe,"actor,producer,director","tt0202677,tt0375679,tt0280707,tt0139134"
nm0000203,River Phoenix,"actor,soundtrack","tt0091557,tt0096018,tt0092005,tt0102494"
nm0000204,Natalie Portman,"actress,producer,soundtrack","tt0376541,tt1619029,tt0434409,tt0947798"
nm0000205,Parker Posey,"actress,soundtrack,writer","tt0134084,tt0106677,tt0359013,tt0348150"
nm0000206,Keanu Reeves,"actor,producer,soundtrack","tt0102685,tt0234215,tt0133093,tt0111257"
nm0000207,Christina Ricci,"actress,producer,soundtrack","tt0112642,tt0101272,tt0106220,tt0811080"
nm0000208,Molly Ringwald,"actress,soundtrack,music_department","tt0095169,tt0088847,tt0088128,tt0091790"
nm0000209,Tim Robbins,"actor,producer,director","tt0094812,tt0105151,tt0111161,tt0327056"
nm0000210,Julia Roberts,"actress,producer,soundtrack","tt0100405,tt1322269,tt0119738,tt0195685"
nm0000211,Mimi Rogers,"actress,producer,soundtrack","tt0118655,tt0488085,tt0120738,tt0210070"
nm0000212,Meg Ryan,"actress,producer,soundtrack","tt0108160,tt0120632,tt0128853,tt0098635"
nm0000213,Winona Ryder,"actress,producer,soundtrack","tt0172493,tt0118583,tt0110367,tt0097493"
nm0000215,Susan Sarandon,"actress,producer,soundtrack","tt0103074,tt0094812,tt0120686,tt0112818"
nm0000216,Arnold Schwarzenegger,"actor,producer,director","tt0111503,tt0093773,tt0103064,tt0216216"
nm0000217,Martin Scorsese,"producer,director,actor","tt0070379,tt0490215,tt0075314,tt0099685"
nm0000218,Kristin Scott Thomas,"actress,soundtrack,director","tt1602613,tt0280707,tt0109831,tt0116209"
nm0000219,Steven Seagal,"producer,actor,writer","tt0105690,tt0094602,tt0242445,tt0110725"
nm0000220,Joan Severance,"actress,producer","tt0112519,tt0098282,tt0099141,tt0115696"
nm0000221,Charlie Sheen,"actor,producer,soundtrack","tt0094291,tt0107144,tt0369179,tt0108333"
nm0000222,Brooke Shields,"actress,producer,soundtrack","tt0115376,tt0078111,tt0080453,tt0082329"
nm0000223,Elisabeth Shue,"actress,soundtrack,producer","tt0164052,tt0092513,tt0113627,tt0120053"
nm0000224,Alicia Silverstone,"actress,producer,soundtrack","tt0124298,tt0118688,tt0112697,tt0106627"
nm0000225,Christian Slater,"actor,producer,soundtrack","tt0108399,tt0102798,tt0124198,tt4158110"
nm0000226,Will Smith,"music_department,actor,producer","tt0480249,tt0098800,tt0116629,tt0119654"
nm0000227,Mira Sorvino,"actress,producer,soundtrack","tt0119675,tt0120032,tt0113819,tt0120008"
nm0000228,Kevin Spacey,"actor,producer,soundtrack","tt0119488,tt0169547,tt0114369,tt0114814"
nm0000229,Steven Spielberg,"producer,writer,director","tt0083866,tt0108052,tt0120815,tt0082971"
nm0000230,Sylvester Stallone,"actor,writer,producer","tt0084602,tt3076658,tt0075148,tt0089927"
nm0000231,Oliver Stone,"director,producer,writer","tt0346491,tt0091763,tt0096969,tt0102138"
nm0000232,Sharon Stone,"actress,producer,soundtrack","tt0114214,tt0112641,tt0111255,tt0103772"
nm0000233,Quentin Tarantino,"writer,actor,producer","tt0116367,tt3460252,tt0110912,tt0105236"
nm0000234,Charlize Theron,"actress,producer,soundtrack","tt2406566,tt1392190,tt1735898,tt0340855"
nm0000235,Uma Thurman,"actress,soundtrack,writer","tt0266697,tt0378194,tt0118688,tt0110912"
nm0000236,Jennifer Tilly,"actress,soundtrack,writer","tt0119528,tt0387575,tt0115736,tt0144120"
nm0000237,John Travolta,"actor,soundtrack,producer","tt0119094,tt0113161,tt0185183,tt0427327"
nm0000239,Liv Tyler,"actress,producer,soundtrack","tt0167260,tt0120591,tt0120737,tt0482606"
nm0000240,Skeet Ulrich,"actor,director,producer","tt0117571,tt0913354,tt0409572,tt0115963"
nm0000241,Jean-Claude Van Damme,"actor,producer,writer","tt0101764,tt0119013,tt0107076,tt0092675"
nm0000242,Mark Wahlberg,"producer,actor,soundtrack","tt0118749,tt1637725,tt0964517,tt0407887"
nm0000243,Denzel Washington,"actor,producer,soundtrack","tt1037705,tt2671706,tt0139654,tt0168786"
nm0000244,Sigourney Weaver,"actress,soundtrack,producer","tt0499549,tt0078748,tt0118583,tt0125022"
nm0000245,Robin Williams,"actor,soundtrack,writer","tt0119217,tt0107614,tt0093105,tt0265459"
nm0000246,Bruce Willis,"actor,soundtrack,producer","tt0167404,tt0095016,tt0088571,tt0110912"
nm0000247,John Woo,"producer,director,writer","tt0092263,tt0119094,tt0425637,tt0104684"
nm0000249,James Woods,"actor,producer,soundtrack","tt0119282,tt0159097,tt0086541,tt0120877"
nm0000250,Renée Zellweger,"actress,soundtrack,producer","tt0243155,tt0159365,tt0116695,tt0299658"
nm0000251,Timothy Dowling,"actor,writer","tt0430922,tt0181852,tt1596350,tt2120120"
nm0000254,Isabelle Adjani,"actress,soundtrack,producer","tt0094828,tt0110963,tt0082933,tt0073114"
