nconst,primaryName,primaryProfession,knownForTitles
nm0154158,Saratchandra Chatterjee,writer,"tt1327035,tt0259211,tt0238936,tt0152720"
nm0154164,Soumitra Chatterjee,actor,"tt0052572,tt0065417,tt0299747,tt1522133"
nm0154187,Sue Dahlman,actress,"tt0181156,tt0097971,tt0072000,tt4193394"
nm0154226,Justin Chatwin,actor,"tt0407304,tt1098327,tt1586680,tt0435670"
nm0154312,Pascal Chaumeil,"director,assistant_director,writer","tt1986843,tt0110413,tt1465487,tt0119116"
nm0154402,Emmanuel de Chauvigny,"production_designer,actor,art_director","tt0387898,tt0339357,tt0216625,tt0113273"
nm0154464,Antonio Chavarrías,"producer,director,writer","tt0102391,tt0338537,tt0096133,tt0114587"
nm0154653,Bhoomika Chawla,"actress,miscellaneous","tt4169250,tt7516778,tt0360797,tt0374271"
nm0154665,Paddy Chayefsky,"writer,actor,producer","tt0074958,tt0080360,tt0067217,tt0048356"
nm0154716,Stephen Chbosky,"writer,producer,director","tt1659337,tt2771200,tt2543472"
nm0154767,Lori Cheatle,"producer,miscellaneous,director","tt0399758,tt3041550,tt4381612,tt0231617"
nm0154819,Jeremiah S. Chechik,"director,producer,actor","tt0397442,tt0106387,tt0097958"
nm0154883,Norwood Cheek,"editor,producer,director","tt1068680,tt0461030,tt0204946,tt0303361"
nm0155009,Anton Chekhov,"writer,actor,miscellaneous","tt9574844,tt2758880,tt0065128,tt0037325"
nm0155093,Peter Chelsom,"actor,director,writer","tt3922818,tt1626146,tt0113133,tt0240890"
nm0155136,Marie Cheminal,"production_designer,set_decorator,art_department","tt0111543,tt0283900,tt0869994,tt2179121"
nm0155158,Baoguo Chen,actor,"tt4771538,tt4127474,tt4050958,tt0485976"
nm0155211,Edison Chen,actor,"tt0468569,tt0338564,tt0251094,tt0433386"
nm0155277,Julie Chen,actress,"tt4384086,tt4016454,tt1378167,tt2737290"
nm0155295,Kuo-Fu Chen,"producer,writer,director","tt0111833,tt0284066,tt1434423,tt0212423"
nm0155349,Qi Gang Chen,"composer,soundtrack,music_department","tt0097985,tt0486884"
nm0155365,Shiang-chyi Chen,actress,"tt3577190,tt0445760,tt0269746,tt0377556"
nm0155389,Terry Chen,actor,"tt2357547,tt1856010,tt3230854,tt0181875"
nm0155392,Tiger Hu Chen,"actor,stunts,writer","tt0133093,tt2016940,tt0234215,tt0190332"
nm0155515,Dick Cheney,,"tt2441172,tt2354495,tt3195318,tt2954178"
nm0155528,Yarrow Cheney,"animation_department,production_designer,director","tt1690953,tt0129167,tt1323594,tt1482459"
nm0155531,Cheng Ah,"writer,actor","tt0332831,tt3508840,tt0087301,tt0439885"
nm0155536,Andy Cheng,"stunts,assistant_director,miscellaneous","tt0127357,tt0184894,tt0266915,tt0120812"
nm0155593,Lawrence Cheng,"actor,writer,producer","tt1517633,tt0325655,tt3898860,tt0379874"
nm0155594,Lei Cheng,actor,"tt0065450,tt0060350,tt0096472,tt0064067"
nm0155607,Pei-Pei Cheng,"actress,producer,music_department","tt0891592,tt0059079,tt2560102,tt0190332"
nm0155617,Ronald Cheng,"actor,soundtrack,director","tt2266938,tt7762772,tt0934964,tt0471243"
nm0155692,Ellen Chenoweth,"casting_director,casting_department","tt0477348,tt1124035,tt0465538,tt1019452"
nm0155693,Kristin Chenoweth,"actress,soundtrack,producer","tt0374536,tt2357291,tt0925266,tt2097307"
nm0155863,Marco Cherqui,"producer,actor,writer","tt1235166,tt0990359,tt2072233,tt3068194"
nm0155874,Maro Chermayeff,"producer,director,writer","tt2073029,tt0320010,tt7697870,tt0168923"
nm0155913,Jonas Chernick,"actor,writer,producer","tt2820078,tt2112210,tt0896527,tt0282612"
nm0155942,Jeffrey Chernov,"producer,production_manager,miscellaneous","tt1825683,tt0796366,tt1408101,tt2660888"
nm0156038,Roger Cherrill,"sound_department,editor,editorial_department","tt0047813,tt0060736,tt0100594,tt0093058"
nm0156066,Don Cherry,"soundtrack,composer,music_department","tt0071615,tt0061605,tt0178999,tt0104503"
nm0156067,Don Cherry,"actor,editor","tt0111987,tt0405469,tt0161185,tt0188335"
nm0156134,Jack Chertok,"producer,miscellaneous","tt0038990,tt0036218,tt0036719,tt0037614"
nm0156198,Nasser Cheshmazar,"composer,music_department,actor","tt2321185,tt0344426,tt2389120,tt0099729"
nm0156228,Patrick Chesnais,"actor,director,writer","tt0401383,tt2379318,tt0119923,tt0095511"
nm0156232,Steven Chesne,"composer,music_department","tt0250067,tt0253335,tt0267379,tt0974014"
nm0156265,Lisa Chess,actress,"tt0103512,tt0103060,tt0079945,tt0111125"
nm0156276,Matt Chesse,"editor,producer,editorial_department","tt1291584,tt0830515,tt0816711,tt0308644"
nm0156314,Craig Chester,"actor,writer,miscellaneous","tt0105508,tt1311071,tt0372122,tt0116594"
nm0156320,Hal E. Chester,"producer,actor,writer","tt0050766,tt0160362,tt0462519,tt0047958"
nm0156337,Rodney Chester,"talent_agent,actor","tt0955306,tt0137386,tt0478079,tt0414322"
nm0156376,Scott Chestnut,"editor,producer,editorial_department","tt0206314,tt0128442,tt0914863,tt2910814"
nm0156417,Lionel Chetwynd,"writer,producer,director","tt0245540,tt0401504,tt0113483,tt0071155"
nm0156448,Chi Leung 'Jacob' Cheung,"director,actor,producer","tt0485863,tt0096505,tt0107461,tt0097344"
nm0156451,Chi-Sing Cheung,"writer,director,actor","tt0429078,tt0127360,tt0339831,tt0457049"
nm0156461,Cindy Cheung,actress,"tt6078096,tt2872462,tt1856010,tt1837492"
nm0156547,Radium Cheung,"camera_department,cinematographer,actor","tt3824458,tt6048596,tt4270492,tt3838802"
nm0156767,Rémy Chevrin,"cinematographer,camera_department","tt0101700,tt0388505,tt3198638,tt1828995"
nm0156801,Kim Chew,actress,"tt0107282,tt0087150"
nm0156803,Laureen Chew,actress,"tt0349352,tt0083728,tt0087150"
nm0156816,Richard Chew,"editor,editorial_department,cinematographer","tt0073486,tt0184894,tt0071360,tt0076759"
nm0156819,Sukee Chew,"manager,producer,casting_department","tt1507563,tt0206963,tt0961108,tt1731701"
nm0156828,Timothy A. Chey,"producer,writer,director","tt3962210,tt0119097,tt1253853,tt0499484"
nm0156858,Shefali Shah,actress,"tt0195231,tt0265343,tt0459293,tt4110568"
nm0156873,Anna Chi,"producer,director,writer","tt9143758,tt0169624,tt0250468,tt1216477"
nm0156895,Peng Chi,actress,"tt5290746,tt9557290,tt0103762,tt3214392"
nm0156911,Beatrice Chia,actress,"tt0249989,tt0360921,tt0282696,tt0279409"
nm0156940,Dominic Chianese,"actor,soundtrack","tt0074119,tt0141842,tt0071562,tt0078718"
nm0157105,Sofiko Chiaureli,actress,"tt0050752,tt0175294,tt0063555,tt0170487"
nm0157142,Yoshinori Chiba,"producer,miscellaneous,production_manager","tt1010055,tt0123092,tt1183732,tt1592503"
nm0157157,Jonathan Chibnall,"editor,editorial_department,producer","tt0882977,tt0133152,tt0295701,tt0368891"
nm0157180,Chi Yang Wang,editor,"tt0184567,tt0313880,tt0103935,tt1499346"
nm0157222,Austin Chick,"director,writer,producer","tt1291123,tt2036376,tt0245573,tt0292963"
nm0157266,Philip Chidel,"producer,director,writer","tt0211360,tt0492912,tt2079460,tt6958520"
nm0157313,Karin Chien,"producer,miscellaneous","tt0436607,tt1557596,tt1294161,tt0770751"
nm0157351,Philippe Chiffre,"production_designer,actor,art_department","tt1167638,tt2076176,tt0362225,tt0163180"
nm0157368,Andrea Chignoli,"editor,editorial_department,writer","tt1714886,tt1223975,tt2014392,tt2059255"
nm0157410,Caroline Chikezie,"actress,producer","tt0402022,tt0460681,tt0449010,tt3735726"
nm0157463,Julia Child,"writer,actress","tt1135503,tt0108526,tt0281455,tt0163936"
nm0157521,Minor Childers,"producer,production_manager,miscellaneous","tt0492896,tt4427800,tt0179098,tt0339291"
nm0157575,Martin Childs,"production_designer,art_director,art_department","tt0180073,tt0109836,tt0138097,tt0104036"
nm0157647,Charles Chilton,"producer,writer,music_department","tt0075627,tt6321414,tt0064754,tt6425008"
nm0157692,Marco Chimenz,"producer,executive","tt0418110,tt0120731,tt0326977,tt0418091"
nm0157717,Ashley Chin,"actor,writer,producer","tt0088512,tt1204507,tt2567712,tt1698027"
nm0157730,Colin Chin,"composer,music_department,actor","tt0352394,tt0410340,tt0249378,tt0438204"
nm0157785,Siu-Ho Chin,"actor,music_department","tt0108281,tt0082153,tt0089371,tt0110200"
nm0157787,Stephen Chin,"writer,producer","tt0119237,tt1619805,tt0127722,tt2005151"
nm0157796,Tsai Chin,"actress,soundtrack","tt0062512,tt3110958,tt0397535,tt0381061"
nm0157805,Elaine Jin,actress,"tt4417522,tt0090922,tt0093845,tt6041030"
nm0157814,Nikhil Chinappa,"actor,soundtrack,music_department","tt0488906,tt1024943,tt0811066,tt0415768"
nm0157915,Nick Chinlund,"actor,producer","tt0139654,tt0314353,tt0116213,tt0296572"
nm0157966,Kevin Chinoy,producer,"tt5649144,tt3824458,tt2035630,tt0484167"
nm0158180,Graciana Chironi,actress,"tt0315850,tt0359254,tt0213905,tt0113946"
nm0158219,David Chisholm,"writer,producer","tt0098663,tt0158708,tt4196546,tt0111880"
nm0158314,Luciano Chitarrini,writer,tt0054756
nm0158323,Ugo Chiti,"writer,art_director,costume_designer","tt0115494,tt0322725,tt0417944,tt0929425"
nm0158360,Alison Chitty,"production_designer,costume_designer","tt0100024,tt0107653,tt0117589,tt4027124"
nm0158402,Kang Chien Chiu,"writer,director,miscellaneous","tt0084248,tt0098187,tt0084807,tt0090922"
nm0158414,Wenzhuo Zhao,actor,"tt0107162,tt0368276,tt0110073,tt1425257"
nm0158474,Steven Chivers,"cinematographer,camera_department,director","tt0099740,tt0110027,tt3529134,tt3521184"
nm0158516,Nino Chkheidze,actress,"tt0287082,tt0274516,tt0170487,tt0182782"
nm0158528,Ramaz Chkhikvadze,actor,"tt0124127,tt0170301,tt0284595,tt0071673"
nm0158543,Sergey Chliyants,"producer,director,writer","tt0880504,tt0165890,tt5129970,tt0383020"
nm0158626,John Cho,"actor,producer,soundtrack","tt0366551,tt7668870,tt1408101,tt0796366"
nm0158648,Seung-woo Cho,actor,"tt6461346,tt0875025,tt0448621,tt0245837"
nm0158654,Sung-woo Jo,"composer,producer,music_department","tt1048159,tt5947416,tt0223530,tt1542482"
nm0158661,Yong-kyou Cho,"cinematographer,camera_department","tt0269743,tt0380679,tt2969482,tt2088012"
nm0158802,Edmund Choi,"composer,music_department,sound_department","tt0101410,tt0116282,tt0110074,tt0205873"
nm0158825,Jae-Won Choi,producer,"tt3404140,tt0901487,tt0353969,tt0365376"
nm0158856,Min-sik Choi,actor,"tt2872732,tt0289181,tt0364569,tt1588170"
nm0158857,Ming-liang Tsai,"director,writer,producer","tt0269746,tt0377556,tt0156610,tt0119263"
nm0158872,Sung Fai Choi,"cinematographer,camera_department,producer","tt1686784,tt0190332,tt0865556,tt3950078"
nm0158923,Neten Chokling,"director,actor,writer","tt0499238,tt2242306,tt0201840,tt0378906"
nm0158966,Lisa Cholodenko,"director,producer,writer","tt0367587,tt0139362,tt0842926,tt0298408"
nm0158967,Marc Cholodenko,"writer,actor","tt0443844,tt0096878,tt0110749,tt1073535"
nm0158989,Robert Chomiak,"writer,miscellaneous,producer","tt0457572,tt0374407,tt0193253,tt2559458"
nm0159008,Noam Chomsky,"writer,miscellaneous","tt0104810,tt0338357,tt0807956,tt1891825"
nm0159039,Felix Chong,"writer,director,actor","tt0338564,tt1349853,tt7183578,tt1852904"
nm0159052,John Chong,"producer,miscellaneous,writer","tt1371111,tt0157366,tt0338564,tt1124052"
nm0159058,Ma Chong,actor,tt0099902
nm0159059,Marcus Chong,"actor,producer","tt0114084,tt0101209,tt0133093,tt0353324"
nm0159063,Paris Chong,"actor,director,producer","tt0099546,tt5087008,tt1323598,tt0113936"
nm0159081,Shelby Chong,"actress,producer,soundtrack","tt0100817,tt0099546,tt0080520,tt0084788"
nm0159098,Lama Chonjor,actor,tt0201840
nm0159147,Aditya Chopra,"producer,writer,director","tt0112870,tt0420332,tt1182937,tt0213890"
nm0159149,Deepak Chopra,"actor,writer,producer","tt0970866,tt0811138,tt1164605,tt1613024"
nm0159167,Uday Chopra,"producer,actor,assistant_director","tt0112870,tt1351224,tt0422091,tt0441048"
nm0159258,Cyril Cusack,actor,"tt0060390,tt0104231,tt0087803,tt0069947"
nm0159262,Pierre Chosson,"writer,director,miscellaneous","tt1747958,tt2891070,tt0281830,tt0942379"
nm0159443,Chris Chow,"writer,camera_department,director","tt0446059,tt1038685,tt0806027,tt1350510"
nm0159507,Stephen Chow,"actor,writer,producer","tt0940709,tt4701660,tt0373074,tt0286112"
nm0159556,Sandeep Chowta,"composer,soundtrack,music_department","tt0251756,tt0195231,tt0314006,tt0249371"
nm0159607,James Chressanthis,"cinematographer,camera_department,director","tt3460082,tt0299658,tt1054118,tt1844624"
nm0159698,Peter Christelis,"editor,editorial_department,sound_department","tt0345061,tt0423409,tt0829459,tt0310154"
nm0159760,David Christensen,"producer,director,writer","tt3066630,tt2783932,tt0460566,tt1934472"
nm0159769,Don Christensen,"composer,sound_department,music_department","tt0084698,tt0081793,tt0243037,tt0112625"
nm0159776,Erika Christensen,"actress,producer,soundtrack","tt0283026,tt0408790,tt1416765,tt0181865"
nm0159789,Hayden Christensen,"actor,producer,executive","tt0489099,tt0323944,tt0121766,tt0121765"
nm0159802,Jesper Christensen,"actor,director,producer","tt0381061,tt0830515,tt1226753,tt2379713"
nm0159835,Lars Saabye Christensen,"writer,miscellaneous","tt2200989,tt1332134,tt0111421,tt0088849"
nm0159871,Nigel Christensen,"sound_department,composer,writer","tt1392190,tt2404233,tt4716268,tt1490017"
nm0159892,Ronnie Christensen,"writer,director,producer","tt0449487,tt3216348,tt0364146,tt1507563"
nm0159900,Shawn Christensen,"writer,soundtrack,actor","tt5276548,tt3060492,tt2088735,tt1291566"
nm0159922,Tove Christensen,"producer,executive,actor","tt0323944,tt2923316,tt1552224,tt2490326"
nm0159965,Dana Christiaansen,"camera_department,cinematographer,producer","tt0074226,tt0084316,tt0078087,tt0093828"
nm0160004,Claudia Christian,"actress,director,writer","tt0105946,tt0297162,tt0230011,tt0121804"
nm0160091,Steve Christian,"producer,actor,camera_department","tt0488085,tt1235189,tt0464196,tt0365686"
nm0160130,Mady Christians,"actress,soundtrack","tt0025989,tt0028988,tt0014900,tt0016499"
nm0160157,Christian E. Christiansen,"director,production_manager,writer","tt1265990,tt0466500,tt1221129,tt3103598"
nm0160272,Kostas Christides,"music_department,composer,soundtrack","tt0413300,tt0822847,tt0298814,tt0137494"
nm0160371,Sandra Christie,"editor,editorial_department","tt0395441,tt3597632,tt0109085,tt0389277"
nm0160391,Pierre Christin,writer,"tt0097292,tt0096994,tt2239822,tt0429462"
nm0160393,Ana Cristina de Oliveira,actress,"tt0430357,tt0316732,tt7753158,tt0450470"
nm0160429,Angela Christlieb,"editor,writer,director","tt2585594,tt1754193,tt0281724,tt5669930"
nm0160462,Christo,miscellaneous,"tt0480148,tt0476104,tt0111541,tt1227929"
nm0160550,Dennis Christopher,"actor,soundtrack","tt0099864,tt1853728,tt0078902,tt0080711"
nm0160553,Dyllan Christopher,actor,"tt0188863,tt0120591,tt0329575,tt0488658"
nm0160617,Robin Christopher,actress,"tt7131660,tt0067055"
nm0160630,Thom Christopher,actor,"tt0062595,tt0078579,tt0081930,tt0097174"
nm0160646,Jamie Christopherson,"composer,music_department,soundtrack","tt2249007,tt4303202,tt1602611,tt5691084"
nm0160823,Emily Chu,actress,"tt0092263,tt0093258,tt0091091,tt0094357"
nm0160840,Jon M. Chu,"producer,writer,director","tt1023481,tt1702443,tt1583421,tt3110958"
nm0160883,T'ien-wen Chu,"writer,producer","tt3508840,tt0113256,tt0087164,tt0085695"
nm0160941,Caldecot Chubb,"producer,manager,production_manager","tt0109506,tt0914863,tt0119080,tt0800308"
nm0160942,Ken Chubb,"miscellaneous,writer,producer","tt0210070,tt0374277,tt0465440,tt0414510"
nm0161023,Karin Anna Cheung,"actress,producer,director","tt1024770,tt4154004,tt0280477,tt2217725"
nm0161045,Bo-Chu Chui,"producer,production_manager,miscellaneous","tt0300620,tt0190332,tt0108281,tt0373074"
nm0161046,Delphine Chuillot,actress,"tt1188729,tt1605777,tt2054790,tt0152015"
nm0161133,Do-yeon Jeon,actress,"tt0817225,tt4636022,tt0479773,tt1314652"
nm0161152,Oxide Chun Pang,"director,writer,producer","tt0425430,tt0498311,tt0263101,tt0325655"
nm0161158,Chun Sun,actor,"tt0348021,tt0425637,tt1772230,tt4054338"
nm0161159,Tin Nam Chun,"writer,miscellaneous","tt1075419,tt0913968,tt0841150,tt1403130"
nm0161182,Wai Chiu Chung,"editor,director,editorial_department","tt2063011,tt3003668,tt0834902,tt5847286"
nm0161200,Chung-hoon Chung,"cinematographer,writer,producer","tt1396484,tt0364569,tt1682180,tt4016934"
nm0161202,Connie Chung,"actress,producer","tt0231023,tt3551096,tt1856010,tt0094514"
nm0161213,Fat Chung,"actor,producer,stunts","tt0259023,tt0091091,tt0082762,tt0088112"
nm0161232,Ida F.O. Chung,actress,"tt4183490,tt0087150,tt0176357"
nm0161242,Ji-woo Jung,"director,writer,editor","tt2390253,tt5633396,tt0220507,tt1305131"
nm0161288,Ray Chung,"editor,sound_department,production_manager","tt5684664,tt3667792,tt0209278,tt0213192"
nm0161443,Joan Churchill,"cinematographer,camera_department,producer","tt0083105,tt0364930,tt1965264,tt0091414"
nm0161446,John Churchill,"actor,writer,producer","tt0452046,tt1559025,tt2048875,tt4532368"
nm0161476,Winston Churchill,"writer,miscellaneous","tt0398438,tt0058099,tt0047756,tt0069528"
nm0161515,Iris Churn,actress,"tt0080432,tt3640276,tt0099040,tt0098911"
nm0161530,Barry Chusid,"production_designer,art_director,art_department","tt0379786,tt0187393,tt0319262,tt1190080"
nm0161540,Aleksandr Chutko,actor,"tt0173558,tt2328813,tt0135546,tt0127620"
nm0161607,Andrzej Chyra,actor,"tt2650642,tt0480163,tt0225535,tt0794399"
nm0161636,Chuy Chávez,"cinematographer,camera_department,actor","tt1477837,tt0485851,tt0415978,tt0403702"
nm0161717,Patrice Chéreau,"miscellaneous,director,writer","tt0118834,tt0256103,tt0110963,tt0435479"
nm0161796,Fabio Cianchetti,"cinematographer,camera_department,actor","tt1801061,tt0309987,tt0772203,tt0208032"
nm0161834,Derek Cianfrance,"director,writer,cinematographer","tt1120985,tt2547584,tt0176573,tt1817273"
nm0161862,Eduardo Ciannelli,actor,"tt0032484,tt0037166,tt0032832,tt0031398"
nm0161870,Glenn Ciano,"writer,producer,miscellaneous","tt0125971,tt0183505,tt1622991,tt1650537"
nm0161887,Peter Ciardelli,"editorial_department,cinematographer,art_department","tt0233469,tt0183505,tt0161081,tt0162222"
nm0161889,Francesca Ciardi,actress,"tt0078935,tt0277474,tt3349804,tt3020786"
nm0161891,Mark Ciardi,"producer,actor,executive","tt0265662,tt1647668,tt0445990,tt1028576"
nm0161928,Christopher Cibelli,"editor,editorial_department,sound_department","tt0343996,tt6461746,tt1196946,tt0103241"
nm0162072,Marina Cicogna,"producer,miscellaneous,actress","tt0069823,tt0071950,tt0065889,tt0069446"
nm0162085,Roberto Cicutto,"producer,production_manager,executive","tt0395169,tt0245276,tt1046997,tt0985597"
nm0162112,Cynthia Cidre,"writer,producer,executive","tt1723760,tt4428022,tt0099936,tt0955250"
nm0162263,Walter W. Cikan,"composer,music_department,soundtrack","tt0892408,tt0499157,tt1173745,tt0419449"
nm0162317,Francesca Cima,"producer,production_manager,executive","tt3312830,tt0770829,tt1440345,tt2358891"
nm0162320,Tomás Cimadevilla,"producer,actor,writer","tt5293958,tt6394244,tt0861747,tt0301524"
nm0162343,Matt Cimber,"director,producer,writer","tt0082122,tt0083914,tt0449318,tt0071227"
nm0162350,David Ciminello,"actor,writer,producer","tt0346222,tt0123003,tt0090481,tt0095342"
nm0162391,Maria Cina,"actress,producer,miscellaneous","tt0343095,tt0325007,tt1567759,tt0120434"
nm0162535,Caco Ciocler,"actor,producer","tt2141697,tt2006109,tt0757116,tt0138257"
nm0162668,Daniele Ciprì,"cinematographer,director,writer","tt0358676,tt0445071,tt1891788,tt1156173"
nm0162758,Richard P. Cirincione,"sound_department,editor,editorial_department","tt0183523,tt0252503,tt0078788,tt0072890"
nm0162801,Vincent Cirrincione,"producer,executive","tt0914863,tt0407936,tt1151922,tt2245151"
nm0162906,Tommy Citera,actor,"tt0081695,tt0083962,tt0096156"
nm0162973,Adrienne Ciuffo,"producer,writer,miscellaneous","tt0239867,tt1664894,tt0326005,tt0288980"
nm0162992,Richard Ciupka,"cinematographer,director,writer","tt0080388,tt2928960,tt0088038,tt0312990"
nm0163136,David Claessen,"cinematographer,camera_department,director","tt0422093,tt0822868,tt0293562,tt0119082"
nm0163177,John Claflin,"writer,producer","tt0221633,tt0366174,tt1196340,tt0770752"
nm0163229,René Clair,"writer,director,producer","tt0048133,tt0044409,tt0039823,tt0037515"
nm0163257,Ina Claire,actress,"tt0031725,tt0021322,tt0036384,tt0022296"
nm0163335,Jeff Clanagan,"producer,executive,actor","tt0326806,tt0189810,tt0196708,tt0382561"
nm0163344,Tom Clancey,"cinematographer,camera_department,editor","tt1596343,tt0337921,tt1013752,tt1336617"
nm0163353,Daniel B. Clancy,"production_designer,set_decorator,art_department","tt0120784,tt0117381,tt1234719,tt0942385"
nm0163510,Jillian Clare,"actress,producer,costume_department","tt3661570,tt2510434,tt8399014,tt6237314"
nm0163616,Adam Clark,"cinematographer,camera_department","tt0190865,tt0167260,tt1560139,tt0110005"
nm0163618,Al Clark,"producer,actor","tt0087803,tt0109045,tt0221073,tt0178022"
nm0163639,Alyssa Clark,"editor,editorial_department,writer","tt3079768,tt1567432,tt5368542,tt0139428"
nm0163659,Anthony Clark,"actor,writer,producer","tt0108327,tt0101748,tt0117500,tt0247144"
nm0163706,Bob Clark,"director,writer,producer","tt0085334,tt0084522,tt0071222,tt0118665"
nm0163727,Brian Clark,"writer,miscellaneous","tt0149484,tt0465319,tt0083326,tt0080288"
nm0163748,Candy Clark,"actress,soundtrack","tt0074851,tt0069704,tt0443706,tt0085255"
nm0163770,Chris Clark,"producer,miscellaneous","tt3569230,tt5294550,tt2234003,tt6921996"
nm0163816,Dane Clark,"actor,director","tt0035608,tt0035799,tt0040607,tt0038000"
nm0163870,Don 'Tex' Clark,"art_department,actor,production_designer","tt0277296,tt0317740,tt1298650,tt1133985"
nm0163984,Graham Clarke,"actor,producer","tt0248667,tt3703686,tt0096149,tt0408378"
nm0163988,Clark Gregg,"actor,director,writer","tt0848228,tt2364582,tt1024715,tt0462128"
nm0164063,Jason Clark,"producer,production_manager,assistant_director","tt1637725,tt1591479,tt0873886,tt0114576"
nm0164083,Jim Clark,"editor,director,actor","tt0056923,tt0087553,tt0074860,tt0091530"
nm0164097,Joe Clark,,"tt3142234,tt0143060,tt0764491,tt0295267"
nm0164180,Kyle Clark,"visual_effects,miscellaneous,producer","tt0120915,tt0119707,tt0149261,tt0453556"
nm0164187,Larry Clark,"director,writer,actor","tt0242193,tt0209077,tt0113540,tt2176690"
nm0164276,Matthew Clark,"cinematographer,camera_department","tt5304992,tt4765284,tt2937366,tt0817544"
nm0164290,Michael B. Clark,"producer,miscellaneous","tt5990342,tt1862079,tt4889096,tt6257174"
nm0164571,Tony Clark,"visual_effects,cinematographer,camera_department","tt1454468,tt0298814,tt0199753,tt0346156"
nm0164626,Steve Clark-Hall,"producer,writer,actor","tt1515091,tt1638355,tt6068620"
nm0164633,A.J. Clarke,actor,"tt0087414,tt0123355,tt0095537,tt0092328"
nm0164650,Angela Clarke,actress,"tt0043454,tt0043599,tt0043621,tt0045886"
nm0164680,Caitlin Clarke,actress,"tt0090555,tt0098844,tt0082288,tt0109303"
nm0164682,Cam Clarke,"actor,casting_department,miscellaneous","tt1073668,tt0131613,tt0180825,tt0094625"
nm0164690,Charles G. Clarke,"cinematographer,camera_department,editor","tt0035082,tt0035982,tt0039628,tt0041840"
nm0164721,Dan Clarke,"producer,production_manager,miscellaneous","tt1878870,tt2788710,tt4270458,tt2543472"
nm0164758,Frank Clarke,"editor,editorial_department","tt0046124,tt0045966,tt0046085,tt0050099"
nm0164809,Jason Clarke,"actor,producer","tt2396589,tt2719848,tt1790885,tt1340138"
nm0164819,John Clarke,"actor,writer,producer","tt0084264,tt0165024,tt0291832,tt0075907"
nm0164838,Justine Clarke,"actress,writer,producer","tt0089530,tt0337960,tt0382806,tt1336911"
nm0164851,Keith R. Clarke,"writer,producer,director","tt3844220,tt1023114,tt0110121,tt2638144"
nm0164883,Mae Clarke,"actress,soundtrack","tt0040269,tt0021884,tt0041547,tt0022550"
nm0164898,Mary Ruth Clarke,"writer,actress","tt0104844,tt0970866,tt0290002,tt0212338"
nm0164926,Nigel Clarke,"composer,music_department","tt0756715,tt0183306,tt1390397,tt0430674"
nm0164929,Noel Clarke,"actor,producer,writer","tt0436992,tt1464763,tt5193784,tt1408101"
nm0164999,Shirley Clarke,"director,editor,producer","tt0252296,tt0053282,tt0054763,tt0056952"
nm0165034,Tony Clarke,"writer,actor,producer","tt5232468,tt0342207,tt0241383,tt3371582"
nm0165078,Cindy Clarkson,"editor,editorial_department,sound_department","tt0110099,tt1661099,tt0108149,tt3842962"
nm0165087,Jeremy Clarkson,"writer,producer,actor","tt0317219,tt0852863,tt0857190,tt1628033"
nm0165101,Patricia Clarkson,"actress,producer,soundtrack","tt0340377,tt1282140,tt0297884,tt0120689"
nm0165105,Ross W. Clarkson,"camera_department,cinematographer,director","tt2458106,tt6712118,tt0443676,tt6349302"
nm0165159,Kevin Clash,"actor,producer,miscellaneous","tt0100758,tt0117110,tt0103060,tt0063951"
nm0165176,Sarah Class,"composer,soundtrack,music_department","tt2571774,tt3616292,tt1842793,tt3532278"
nm0165195,Alex Clatworthy,actress,"tt0119960,tt5607096,tt7334158,tt4555426"
nm0165290,Richard Claus,"producer,director,writer","tt1846526,tt0906778,tt1189008,tt0134305"
nm0165312,Claus Clausen,actor,"tt1611187,tt0220458,tt0024127,tt0036989"
nm0165429,Olivier Claverie,"actor,miscellaneous","tt1388815,tt0473753,tt0310778,tt7368268"
nm0165493,William F. Claxton,"director,producer,editor","tt0050909,tt0053762,tt0069005,tt0040414"
nm0165507,Charlotte Huggins,"miscellaneous,producer,writer","tt0114857,tt1397514,tt0373051,tt2172935"
nm0165540,Lee Clay,"producer,miscellaneous,assistant_director","tt0181689,tt1533013,tt0212720,tt1641385"
nm0165602,Doug Claybourne,"producer,assistant_director,production_manager","tt0120746,tt0086216,tt0232500,tt0113845"
nm0165633,Les Claypool,"music_department,soundtrack,actor","tt1022883,tt0109068,tt0101452,tt1007028"
nm0165679,Curtiss Clayton,"editor,editorial_department,director","tt0102494,tt0363029,tt0118789,tt0097240"
nm0165749,Merry Clayton,"actress,soundtrack,music_department","tt0091635,tt0100029,tt0093476,tt0092890"
nm0165822,Ajae Clearway,"sound_department,producer,assistant_director","tt0120879,tt0405296,tt0381681,tt0303933"
nm0165823,Beverly Cleary,writer,"tt0493949,tt0221414,tt0094533,tt0075471"
nm0165853,Jon Cleary,"writer,producer","tt0053278,tt0054353,tt0122051,tt0063067"
nm0165873,Stephen Cleary,"producer,miscellaneous,writer","tt2307002,tt2887840,tt1703148,tt2622874"
nm0165995,Jericca Cleland,"cinematographer,director,editor","tt0120363,tt2865120,tt1430607,tt0266543"
nm0166018,Brian Clemens,"writer,producer,miscellaneous","tt0054518,tt0102034,tt0071276,tt0067727"
nm0166074,Dick Clement,"writer,producer,director","tt0424095,tt0101605,tt0115396,tt0200465"
nm0166194,Anne Clements,"producer,miscellaneous,art_department","tt3147692,tt0451176,tt7174764,tt5028002"
