movie_id,title,directors_x,genre,theater_date,stream_date,box_office,mpaa,runtime,studio,writer,full_synop,all_reviewers_average,num_all_reviewers,num_all_fresh,num_all_rotten,top_reviewers_average,num_top_reviewers,num_top_fresh,num_top_rotten,user_rating,num_users,simple_title,year,tconst,averageRating,numVotes,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,directors_y,writers
770681481,Ice Age: Dawn of the Dinosaurs (Ice Age 3),"Carlos Saldanha, Mike Thurmeier","Action & Adventure, Animation, Comedy, Kids & Family","Jul 1, 2009","Oct 27, 2009","$124,605,432",PG (for some mild rude humor and peril),94.0,20th Century Fox/Emerging Pictures,"Michael Berg, Peter Ackerman, Mike Reiss, Yoni Brenner","The fun continues as Diego, Manny, and Sid all return for another round of prehistoric fun in this installment of the popular computer-animated children's series.",5.4/10,160.0,73.0,87.0,4.9/10,40.0,12.0,28.0,3.6/5,"553,977",Ice Age: Dawn of the Dinosaurs,2009,tt1080016,7.0,199823,movie,Ice Age: Dawn of the Dinosaurs,Ice Age: Dawn of the Dinosaurs,0,2009,\N,94,"Action,Adventure,Animation","nm0757858,nm0862211","nm0010004,nm0073850,nm3229505,nm3508936,nm0718514"
770811859,Dil Bole Hadippa! (My Heart Goes Hooray!),Anurag Singh,"Art House & International, Comedy, Musical & Performing Arts, Sports & Fitness","Sep 13, 2009","Nov 10, 2009",,PG,148.0,Yash Raj Films,"Jaya, Aparajita","Rani Mukherjee is one of Bollywood's big-name beauties, but that doesn't stop the Saawariya star from cross-dressing in this Hindi-language romantic comedy. The actress plays a female athlete who is desperate to succeed at cricket. Rather than joining a women's team, she dons a beard and a sardar's garb and plays with the big boys. But will her dreams be deferred by a romance with a fellow player (Shahid Kapoor)? Anurag Singh directs this Punjab-set comedy that also stars Anupam Kher, Rakhi Sawant, and Sherlyn Chopra.",4.9/10,6.0,4.0,2.0,,,,,3.5/5,"1,259",Dil Bole Hadippa!,2009,tt1202540,4.6,3390,movie,Dil Bole Hadippa!,Dil Bole Hadippa!,0,2009,\N,148,"Comedy,Drama,Sport",nm0802086,"nm3853107,nm0419651"
770800728,The Answer Man (Arlen Faber),John Hindman,"Comedy, Drama, Romance","Jul 24, 2009","Nov 3, 2009",,R (for language),95.0,Magnolia Pictures,John Hindman,"The reclusive author whose groundbreaking book redefined spirituality for an entire generation realizes how little he actually knows upon being approached by a single mother and a recovering addict in this drama from first time writer/director John Hindman. It's been 20 years since Arlen Faber (Jeff Daniels) penned ""Me and God,"" and the inspirational, soul-searching book is still as popular as ever. Anyone who reads it thinks that Arlen has all the answers to life's problems, but these days the author barely ventures outside of the house. Then, one day, Arlen crosses paths with Elizabeth (Lauren Graham), a single mother struggling to raise her seven-year-old son, and Kris (Lou Taylor Pucci), a young man who has just gotten out of rehab. Both are searching for the answers that will help them to become better people while overcoming their fears of failure. Does Arlen possess the wisdom to help Elizabeth and Kris work through their current problems, or is he really as clueless as he's been feeling for the last two decades?",5.1/10,44.0,13.0,31.0,4.7/10,22.0,5.0,17.0,3/5,"22,932",The Answer Man,2009,tt1187041,6.4,6090,movie,The Answer Man,Arlen Faber,0,2009,\N,97,"Comedy,Romance",nm1668051,nm1668051
770769989,Gomorrah (Gomorra),Matteo Garrone,"Art House & International, Drama, Mystery & Suspense","Feb 13, 2008","Nov 24, 2009","$1,500,000",NR,137.0,IFC Films,"Maurizio Braucci, Ugo Chiti, Gianni Di Gregorio, Massimo Gaudioso, Roberto Saviano, Matteo Garrone","Adapted from Roberto Saviano's controversial non-fiction book, Matteo Garrone's crime drama Gomorrah examines how organized crime reaches deep into every facet of life in Naples, Italy by telling the tale of over a dozen different characters. Among the main protagonists is a pair of wannabe thugs who take their cue from movie gangsters, a grocery-delivery boy who must learn to kill, and a criminal mastermind who plots to make a fortune while dumping toxic waste near overpopulated communities.",7.7/10,151.0,139.0,12.0,8.2/10,42.0,41.0,1.0,3.5/5,"32,071",Gomorrah,2008,tt0929425,7.0,43036,movie,Gomorrah,Gomorra,0,2008,\N,137,"Crime,Drama",nm0308520,"nm2500207,nm2828827,nm0158323,nm0223924,nm0308520,nm0309979"
341817599,The Seventh Seal (Det Sjunde inseglet),Ingmar Bergman,"Action & Adventure, Art House & International, Classics, Drama, Science Fiction & Fantasy","Feb 16, 1957","Nov 17, 2009",,NR,96.0,Janus Films,Ingmar Bergman,"Disillusioned and exhausted after a decade of battling in the Crusades, a knight (Max von Sydow) encounters Death on a desolate beach and challenges him to a fateful game of chess.",9.1/10,55.0,51.0,4.0,8.5/10,9.0,8.0,1.0,4.3/5,"49,115",The Seventh Seal,1957,tt0050976,8.2,140892,movie,The Seventh Seal,Det sjunde inseglet,0,1957,\N,96,"Drama,Fantasy",nm0000005,nm0000005
770798507,Long Weekend (Nature's Grave),Jamie Blanks,"Drama, Horror, Mystery & Suspense","Dec 1, 2008","Aug 4, 2009",,R,88.0,Darclight Films,Everett De Roche,A vacationing couple endure a series of animal attacks in this terrifying remake of the 1978 cult thriller. Peter (James Caviezel) and Carla are trapped in a failing relationship but hope that a trip to the beach will pull them out of their misery. Little do they know that their disregard for nature will have horrific consequences.,3.3/10,5.0,0.0,5.0,,,,,2.3/5,976,Long Weekend,2008,tt1098356,5.1,5260,movie,Long Weekend,Long Weekend,0,2008,\N,88,"Drama,Horror,Thriller",nm0087595,nm0211193
770686074,The Chaser (Chugyeogja),Hong-jin Na,"Action & Adventure, Art House & International, Drama, Mystery & Suspense","Feb 1, 2008","Aug 4, 2009",,NR,124.0,IFC Films,"Hong-jin Na, Hong Won-Chan, Shinho Lee","An ex-policeman-turned-street-smart pimp attempts to capture the elusive serial killer who has been preying on his girls in this stylish South Koran thriller from first-time feature filmmaker Na Hong-jin. Jung-ho is a former cop who now operates on the other side of the law. When his girls start disappearing without clearing their debts, Jung-ho rightly begins to suspect foul play. Shortly thereafter, Jung-ho receives a call for a girl and dispatches Mi-jin -- recognizing all too late that his latest customer's telephone number exactly matches that of the man who hired the last prostitute that went missing. His detective's instincts now kicking into full gear, Jung-ho races desperately through the streets in search of Mi-jin. After denting a car in a dark ally, the eagle-eyed pimp notices that the driver of the car he collided with is wearing a blood-spattered shirt. Jung-ho gives chase, eventually catching the man and discovering that his name is Young-min. Later, at the police station, Young-min admits that he is indeed the killer that police have been searching for, and that Mi-jin is quite possibly still alive. Though the police aren't convinced that there is any hope for Mi-jin, given the number of corpses popping up around town as of late, Jung-ho believes that Young-min is telling the truth. The law states that the police can only hold the suspected serial killer for 12 hours, but is that enough time for Jung-ho to rescue Mi-jin and prove Young-min's guilt?",6.7/10,30.0,24.0,6.0,6.1/10,8.0,5.0,3.0,4/5,"5,350",The Chaser,2008,tt1190539,7.9,48516,movie,The Chaser,Chugyeogja,0,2008,\N,125,"Action,Crime,Thriller",nm2947553,"nm2974384,nm1425348,nm2947553"
770676701,The Thief (Vor) (&#1042;&#1086;&#1088;),"Pavel Chukhray, Pavel Chukhrai","Art House & International, Drama","Oct 13, 1997","Sep 1, 2009",,"R (For some sexuality, nudity and language)",97.0,Stratosphere Entertainment,"Pavel Chukhray, Aku Louhimies, Pavel Chukhrai, Jari Rantala, Paavo Westerberg","Sanya was born amidst the cold and muck of an empty field. At age six, he and his mother Katya boarded a train and encountered Tolyan, a handsome army officer who wasted no time in becoming Katya's lover. At first Sanya resents Tolyan, but then comes to love him like a father. Tolyan teaches the boy all about manliness and other important things, and their family is happy until the day that mother and son learn that Tolyan is not a soldier but a thief. Still their love for him remains strong and they stay together until he is arrested and sent to Siberia on a seven-year prison sentence.",7/10,24.0,21.0,3.0,7.5/10,8.0,8.0,0.0,4/5,647,The Thief,1997,tt0124207,7.7,4451,movie,The Thief,Vor,0,1997,\N,96,"Crime,Drama",nm0161056,nm0161056
770677011,Triangle (Tie saam gok),"Ringo Lam, Johnnie To, Hark Tsui","Action & Adventure, Art House & International","Oct 1, 2007","Sep 15, 2009",,R (for some violence),100.0,Magnet Releasing/Magnolia Pictures,"Yau Nai-Hoi, Au Kin Yee, Yip Tin Shing, Half Leisure, Sharon Chung, Kenny Kan, Half Keisure","Three maestro Chinese action directors - Ringo Lam, Tsui Hark and Johnny To - co-helm the adventure saga Triangle. The film actually constitutes a film serial, divided into thirds, with each filmmaker responsible for one episode. Three drinking buddies, Fai, Sam and Mok are visited one dark and stormy night by a strange old man who dazzles them with the tale of an ancient treasure. The artifact in question - worth untold amounts of money - lies buried beneath an almost impenetrable government facility. The retrieval mission is theirs, if they wish to accept it, and if they can claim the treasure, they get to keep it. Indeed, the ""loot"" - a magnificent robe of interwoven golden strands, its monetary value inestimable - outstrips everyone's expectations. But in time, the friends' greed and selfishness begin to overshadow their considerations of loyalty, trust and friendship. ~ Nathan Southern, Rovi",4.8/10,15.0,8.0,7.0,,,,,3.1/5,"2,081",Triangle,2007,tt0846017,6.3,1575,movie,Triangle,Tiet sam gok,0,2007,\N,93,"Action,Drama","nm0482681,nm0864775,nm0007139","nm1880327,nm2592004,nm0946883,nm1104594,nm1429767"
770815188,Sikandar (Foot Soldier),Piyush Jha,"Art House & International, Drama, Mystery & Suspense","Aug 21, 2009","Oct 6, 2009",,NR,171.0,Big Pictures Releases,Piyush Jha,"A 14-year-old schoolboy from Kashmir becomes an innocent pawn in a treacherous game between militants, the army, peace-broker politicians, and religious leaders after discovering a handgun on his way home from school. Sent to live with his aunt and uncle after militants killed his parents when he was just four years old, Sikandar Raza's primary goals are to make his foster parents proud and keep his soccer game sharp. Then, one day, while walking home from a soccer game with his friend Nasreen, Sikandar finds a gun. Despite Nasreen's gentle attempts to dissuade her friend from picking up the weapon, Sikandar decides to take the gun home, and the darker side of his nature gradually begins to emerge. Later, when people around the city begin getting killed, it starts to become apparent that the young schoolboy has become hopelessly ensnared in a twisted game being played by the people in power.",5.5/10,7.0,4.0,3.0,,,,,3.2/5,"5,898",Sikandar,2009,tt1278447,6.5,245,movie,Sikandar,Sikandar,0,2009,\N,110,"Crime,Drama,Mystery",nm0422551,"nm0422551,nm2333804"
