tconst,averageRating,numVotes,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,directors_x,writers,yearplus1,yearminus1,movie_id,title,directors_y,genre,theater_date,stream_date,box_office,mpaa,runtime,studio,writer,full_synop,all_reviewers_average,num_all_reviewers,num_all_fresh,num_all_rotten,top_reviewers_average,num_top_reviewers,num_top_fresh,num_top_rotten,user_rating,num_users,simple_title,year
tt3830162,7.1,8334,movie,A War,Krigen,0,2015,\N,115,"Crime,Drama,War",nm2105585,nm2105585,2016,2014,771433212,A War (Krigen),Tobias Lindholm,Drama,"Feb 12, 2016","Jun 7, 2016","$1,346",R (for language and some war related images),115.0,Nordisk Film,"Tobias Lindholm, René Ezra","Company commander Claus M. Pedersen (Pilou Asbæk) and his men are stationed in an Afghan province. Meanwhile back in Denmark Claus' wife Maria (Tuva Novotny) is trying to hold everyday life together with a husband at war and three children missing their father. During a routine mission, the soldiers are caught in heavy crossfire and in order to save his men, Claus makes a decision that has grave consequences for him - and his family back home. -- (C) Magnolia",7.8/10,89.0,81.0,8.0,7.6/10,26.0,23.0,3.0,3.8/5,"1,925",A War,2016
tt2544766,7.0,7806,movie,Admiral,Michiel de Ruyter,0,2015,\N,151,"Action,Adventure,Biography",nm0004152,"nm0095442,nm0886898",2016,2014,771422436,Admiral (Michiel de Ruyter),Roel Reiné,Action & Adventure,"Mar 11, 2016","Jun 27, 2017",,NR,122.0,Farmhouse Film & TV Produksje,"Alex van Galen, Lars Boom","When the young republic of The Netherlands is attacked by England, France and Germany and the country itself is on the brink of civil war, only one man can lead the county's strongest weapon, the Dutch fleet: Michiel de Ruyter.",6.6/10,5.0,3.0,2.0,,,,,4/5,195,Admiral,2016
tt3364264,6.0,1281,movie,Adventures in Public School,Public Schooled,0,2017,\N,86,Comedy,nm2079911,"nm1648130,nm2079911",2018,2016,771476495,Adventures in Public School (Public Schooled),Kyle Rideout,Comedy,"Apr 27, 2018","Apr 27, 2018",,NR,86.0,Gravitas Ventures,"Josh Epstein, Kyle Rideout","A socially awkward home-schooled kid forces his way into public-school when he falls for the popular one-legged girl (Siobhan Williams, ""UnReal""). Much to his mother's (Judy Greer, 13 Going on 30) chagrin, he gets a crash course in sex, drugs, and social mayhem.",5.9/10,7.0,5.0,2.0,,,,,3.7/5,142,Adventures in Public School,2018
tt5294966,7.4,6866,movie,After the Storm,Umi yori mo mada fukaku,0,2016,\N,118,"Comedy,Drama",nm0466153,nm0466153,2017,2015,771443574,After the Storm (Umi yori mo mada fukaku),Hirokazu Koreeda,"Art House & International, Drama","Mar 17, 2017","Aug 15, 2017","$270,210",NR,117.0,Film Movement,Hirokazu Koreeda,"Dwelling on his past glory as a prize-winning author, Ryota (Hiroshi Abe) wastes the money he makes as a private detective on gambling and can barely pay child support. After the death of his father, his aging mother (Kirin Kiki) and beautiful ex-wife (Yoko Make) seem to be moving on with their lives. Renewing contact with his initially distrusting family, Ryota struggles to take back control of his existence and to find a lasting place in the life of his young son (Taiyo Yoshizawa) - until a stormy summer night offers them a chance to truly bond again.",7.9/10,128.0,123.0,5.0,7.8/10,25.0,24.0,1.0,3.8/5,"1,820",After the Storm,2017
tt1502396,7.3,2244,movie,Alamar,Alamar,0,2009,\N,73,"Documentary,Drama",nm1938088,nm1938088,2010,2008,770818147,Alamar (To the Sea),Pedro González-Rubio,"Art House & International, Drama","Jul 14, 2010","Jan 11, 2011","$61,613",G,73.0,Film Movement,Pedro González-Rubio,"A young boy and his father learn about living in harmony with nature in this languid drama from filmmaker Pedro Gonzalez-Rubio. A man from Mexico (Jorge Machado) travels to Italy and falls in love with a beautiful local woman (Roberta Palombini). Their feelings for one another are strong, but they prove to be short lived, and when they decide to beak up after the birth of their son Natan, he returns to Mexico while she stays in Italy and takes primary custody of the child. However, the father strives to remain a presence in his son's life, and the boy visits his father at least once a year. As the five-year-old Natan travels to Mexico, his father has joined the family' fishing operation near the coral reefs of Banco Chinchorro. Living in an elevated cottage near the shore, Natan and his family devote their summer to an idyllic existence, spending their days catching the plentiful fish and observing the wildlife, and their nights sitting by the fire and admiring the stars. To the father, this simple life teaches an important lesson of existing in peace with the natural world, and Natan comes to see himself as being as much a part of this environment as the fish, the waterfowl and the seaweed. Alamar (aka To The Sea) was the first solo directorial credit for cinematographer Pedro Gonzalez-Rubio.",7.4/10,46.0,42.0,4.0,7.4/10,13.0,12.0,1.0,3.9/5,"1,074",Alamar,2010
tt1492705,5.0,797,movie,All I Wish,All I Wish,0,2017,\N,94,"Comedy,Drama,Romance",nm0910139,nm0910139,2018,2016,771490037,All I Wish (A Little Something for Your Birthday),Susan Walter,"Comedy, Drama, Romance","Mar 30, 2018","May 1, 2018",,R (for some sexual content and partial nudity),94.0,Paladin Film,Susan Walter,"Senna Burges, a struggling clothing designer who hasn't quite found herself has given up on finding her soulmate. Despite attempts, by her best friend and overbearing mother, to get her to settle down and pursue her passion of fashion design, Senna continues down a path of irresponsible behavior, lost jobs, and casual hookups with younger men. All seems to be spiraling out of control for Senna until her 46th birthday party, where she meets her match Adam, a handsome lawyer. Expecting never to meet again, the two serendipitously reunite at her 47th birthday party where Senna's life begins to flourish into something beautiful.",4.2/10,21.0,3.0,18.0,4.3/10,6.0,2.0,4.0,3.2/5,75,All I Wish,2018
tt1859446,6.4,8038,movie,Alps,Alpeis,0,2011,\N,93,Drama,nm0487166,"nm3328207,nm0487166",2012,2010,771244503,Alps (Alpeis),Yorgos Lanthimos,"Art House & International, Documentary, Drama, Special Interest","Jul 13, 2012","Dec 4, 2012","$5,571",NR,60.0,Kino Lorber,"Yorgos Lanthimos, Efthimis Filippou","Yorgos Lanthimos's follow-up to his Academy Award nominee (and cult sensation) Dogtooth is another darkly comic, absurdist vision of (in)human relationships, focusing on a mysterious underground organization that helps mourners get over their losses by impersonating the deceased. -- (C) Kino Lorber",6.9/10,45.0,34.0,11.0,6.7/10,20.0,15.0,5.0,3.1/5,"2,278",Alps,2012
tt4073890,2.7,2565,movie,Andron,Andròn: The Black Labyrinth,0,2015,\N,100,"Action,Sci-Fi",nm4209533,nm4209533,2016,2014,771443213,Andron (Andròn - The Black Labyrinth),Francesco Cinquemani,"Action & Adventure, Art House & International, Science Fiction & Fantasy","Jun 3, 2016","Jul 5, 2016",,R (for language and some violence),100.0,Ambi Pictures,Francesco Cinquemani,A group of former slaves in a futuristic society are forced to fight their way out of a deadly maze full of assassins in this imaginative science-fiction thriller.,2.5/10,6.0,0.0,6.0,,,,,1.6/5,200,Andron,2016
tt0492869,6.4,380,movie,Antonia,Antônia,0,2006,\N,90,"Drama,Musical",nm0024015,"nm0024015,nm0603543",2007,2005,597504656,Antonia (Antônia - O Filme),Tata Amaral,"Art House & International, Drama, Musical & Performing Arts","Aug 17, 2007","Dec 4, 2007",,"PG-13 (for some thematic material, language and brief violence)",88.0,Anywhere Road Entertainment,"Tata Amaral, Roberto Moreira","Friends since childhood, Preta, Barbarah, Mayah and Lena are backup singers in a rap group fronted by a gang of testosterone-laden men, performing to huge audiences in the favelas. Convincing the guys to let them perform one song of their own, their musical stylings drive the crowd wild. Dreaming of the opportunity to make something of their lives, the girls form their own group, Antonia. But what chance do they stand against poverty, sexism and the everyday danger of life in the favela?",7.4/10,15.0,14.0,1.0,7.6/10,7.0,7.0,0.0,3.8/5,511,Antonia,2007
tt3422078,7.3,5264,movie,April and the Extraordinary World,Avril et le monde truqué,0,2015,\N,105,"Adventure,Animation,Comedy","nm1458457,nm2903634","nm1458457,nm0499429,nm0850361,nm0131117,nm0514643",2016,2014,771418961,April and the Extraordinary World (Avril et le monde truqué),"Christian Desmares, Franck Ekinci","Action & Adventure, Animation, Comedy","Mar 25, 2016","Aug 2, 2016","$294,311","PG (for action/peril including gunplay, some thematic elements and rude humor)",105.0,GKIDS,"Franck Ekinci, Benjamin Legrand","From the producers of the Academy Award-nominated Persepolis and the mind of renowned graphic novelist Jacques Tardi comes a riveting sci-fi adventure set in an alternate steampunk world. Paris, 1941. A family of scientists is on the brink of discovering a powerful longevity serum when all of a sudden a mysterious force abducts them, leaving their young daughter April behind. Ten years later, April (Academy Award winner Marion Cotillard) lives alone with her cat, Darwin, and carries on her family's research in secret. But she soon finds herself at the center of a shadowy and far- reaching conspiracy, and on the run from government agents, bicycle-powered dirigibles and cyborg rat spies.",7.6/10,54.0,52.0,2.0,7.6/10,16.0,15.0,1.0,3.8/5,"3,370",April and the Extraordinary World,2016
tt1258120,6.7,2843,movie,Army of Crime,L'armée du crime,0,2009,\N,139,"Drama,History,War",nm0350168,"nm0494557,nm0350168,nm0851522",2010,2008,770808827,Army of Crime (L'Armée du Crime),Robert Guédiguian,"Art House & International, Drama, Mystery & Suspense","Aug 20, 2010","Jan 18, 2011","$35,416",NR,138.0,Lorber Films,"Robert Guédiguian, Gilles Taurand, Serge Le Péron","ARMY OF CRIME is a revealing thriller about the very first days of the French Resistance to Nazi occupation, a time when many of the movement's leaders and foot soldiers were often foreigners - Poles, Jews, Armenians, Spaniards, Italians - who feared French collaborators as much as the Germans. Armenian poet Missak Manouchian, portrayed in a stand-out performance by Simon Abkarian, and his French wife Mélinée, played by the luminous Virginie Ledoyen, lead a resolute assortment of volunteers against German occupiers and their French allies. Varying in their actual homelands, and in their personal and tragic reasons for joining the struggle, they are united by the understanding that the danger and ferocity of Nazi oppression will only increase unless squarely confronted. Their valiant plot to assassinate a general ultimately shows that resistance is indeed possible, but their activity attracts the attention of the German high command, which extracts from their act of defiance an unforgettable lesson for the French people. -- (C) Lorber",6.8/10,32.0,28.0,4.0,7.3/10,8.0,7.0,1.0,3.5/5,"2,070",Army of Crime,2010
tt0344854,6.0,29891,movie,Arthur and the Invisibles,Arthur et les Minimoys,0,2006,\N,94,"Adventure,Animation,Family",nm0000108,"nm1297771,nm0000108,nm0305372,nm1922214,nm2461314,nm2962942",2007,2005,381100441,Arthur and the Invisibles (Arthur and the Minimoys),Luc Besson,"Animation, Kids & Family, Science Fiction & Fantasy","Jan 12, 2007","May 15, 2007","$15,004,318",PG (for fantasy action and brief suggestive material),94.0,MGM,"Luc Besson, Celine Garcia","On the heels of his first foray into romantic comedy, versatile French filmmaker Luc Besson breaks new ground yet again with this computer-animated, family-friendly adaptation of his own children's book Arthur and the Minimoys. Arthur is a wide-eyed ten-year-old whose vivid imagination is fueled by the colorful bedtime stories his grandmother reads to him each night. His dreams are filled with images of African tribes and the remarkable inventions detailed in the enigmatic book that his grandfather left behind after mysteriously disappearing four years ago. Arthur and his family are in danger of losing their home to an unscrupulous real-estate developer, but if there is any truth to the tales of a treasure hidden deep beneath their garden and the tiny, fairy-like creatures that his grandmother so frequently sketches, there may still be hope of saving their home before it's too late. Now, with nothing to guide him but the clues left behind by his grandfather, Arthur will set out to find the mythical world of Seven Kingdoms, where the Minimoys are said to dwell, and ensure that his troubled family always has a place to call home. An imaginative children's fantasy in the vein of J.M. Barrie's Peter Pan, Arthur and the Invisibles features the voices of David Bowie, Snoop Dogg, Madonna, Mia Farrow, and Freddie Highmore. ~ Jason Buchanan, Rovi",4.4/10,91.0,20.0,71.0,3.8/10,30.0,3.0,27.0,3.2/5,"134,468",Arthur and the Invisibles,2007
