tconst,averageRating,numVotes,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,directors_x,writers,director1,director2,nconst,primaryName,primaryProfession,knownForTitles,movie_id,title,directors_y,genre,theater_date,stream_date,box_office,mpaa,runtime,studio,writer,full_synop,all_reviewers_average,num_all_reviewers,num_all_fresh,num_all_rotten,top_reviewers_average,num_top_reviewers,num_top_fresh,num_top_rotten,user_rating,num_users,simple_title,director_1,director_2,director_3
tt1659619,6.6,3974,movie,The Odyssey,L'odyssée,0,2016,\N,122,"Adventure,Biography",nm1362432,"nm1362432,nm1668171,nm0184151,nm0265923,nm2310859",nm1362432,,nm1362432,Jérôme Salle,"writer,director,producer","tt1243957,tt1659619,tt0808339,tt0411118",771451861,The Odyssey (L'odyssée),Jérôme Salle,"Action & Adventure, Drama",,"Jan 30, 2018",,"PG (for thematic material, language, and smoking)",122.0,Samuel Goldwyn Films,"Jérôme Salle, Laurent Turner, Albert Falco","In 1948, Jacques-Yves Cousteau, his wife and son live in paradise in a nice house overlooking the Mediterranean Sea. But Cousteau dreams of adventure. With his invention of scuba gear that can breathe underwater, he discovered a new world. Now he wants to explore this world. And for that, he is ready to sacrifice everything.",5.7/10,18.0,11.0,7.0,,,,,3.4/5,143,The Odyssey,Jérôme Salle,,
tt2171875,6.1,963,movie,Tricked,Steekspel,0,2012,\N,55,"Comedy,Drama,Romance",nm0000682,"nm0465648,nm0000682,nm0016392,nm1360764,nm3393013,nm4107800,nm4222968,nm4948176,nm5259794,nm5544023,nm7989795",nm0000682,,nm0000682,Paul Verhoeven,"director,producer,writer","tt3716530,tt0164052,tt0389557,tt0093870",771354638,Tricked (Steekspel),Paul Verhoeven,"Comedy, Drama","Feb 26, 2016","Jul 26, 2016",,PG-13,52.0,Kino Lorber,"Paul Verhoeven, Kim van Kooten","During his 50th birthday party thrown by his wife, Remco's life takes a turn for the worse. His business partners are scheming behind his back to sell him and his former mistress shows up pregnant.",5.9/10,14.0,6.0,8.0,7.2/10,7.0,3.0,4.0,2.6/5,201,Tricked,Paul Verhoeven,,
tt2861532,7.4,3051,movie,A Wolf at the Door,O Lobo Atrás da Porta,0,2013,\N,101,"Crime,Drama,Thriller",nm2036500,nm2036500,nm2036500,,nm2036500,Fernando Coimbra,"director,writer,editor","tt2861532,tt2126395,tt2707408,tt2582576",771363922,A Wolf at the Door (O Lobo atrás da Porta),Fernando Coimbra,Drama,"Mar 27, 2015","Aug 25, 2015",,NR,100.0,Outsider Pictures,Fernando Coimbra,"Based on real events, and set in Rio de Janeiro, ""A Wolf at the Door"" is the nerve-rattling tale of a kidnapped child and the terror of the parents left behind. When Sylvia (Fabíula Nascimento) discovers her 6 yr old daughter has been picked up at school by an unknown woman, police summon her husband Bernardo (Milhem Cortaz) to the station for questioning. There Bernardo confesses his extra-marital affair with Rosa (Leandra Leal), whom detectives believe to be involved in the kidnapping. Inspired by real events, Brazilian filmmaker Fernando Coimbra's debut feature captures the heightened anxiety of every parent's worst nightmare, casting a light upon the cruelties of which humans are capable. (C) Outsider Pictures",7.2/10,25.0,21.0,4.0,7.5/10,9.0,7.0,2.0,3.9/5,552,A Wolf at the Door,Fernando Coimbra,,
tt2916416,6.1,974,movie,Over Your Dead Body,Kuime,0,2014,\N,93,Horror,nm0586281,nm1120067,nm0586281,,nm0586281,Takashi Miike,"director,actor,producer","tt0235198,tt1436045,tt0361668,tt0296042",771387079,Over Your Dead Body (Kuime),Takashi Miike,"Art House & International, Horror",,"Jan 5, 2016",,NR,94.0,Celluloid Dreams,Kikumi Yamagishi,"Directed by Takashi Miike, OVER YOUR DEAD BODY is a modern take on one of Japan's most famous ghost stories. Taking its cue from the art of Kabuki, the terrifying tale unfolds within the walls of a theatre where a troupe of players are in rehearsals for a production of Yotsuya Kaidan, a 200-year-old tale of murder, betrayal, and phantasmagorical vengeance - and where life comes to imitate art in ultimately shocking ways.",4.9/10,8.0,4.0,4.0,,,,,2.7/5,125,Over Your Dead Body,Takashi Miike,,
tt3286052,5.9,12194,movie,The Blackcoat's Daughter,February,0,2015,\N,93,"Horror,Thriller",nm0674020,nm0674020,nm0674020,,nm0674020,Oz Perkins,"actor,writer,director","tt0274812,tt5059406,tt0250494,tt3286052",771426683,The Blackcoat's Daughter (February),Oz Perkins,Horror,"Mar 31, 2017","May 30, 2017","$19,980",R (for brutal bloody violence and brief strong language),95.0,A24 and DIRECTV,Oz Perkins,"A deeply atmospheric and terrifying new horror film, The Blackcoat's Daughter centers on Kat (Kiernan Shipka) and Rose (Lucy Boynton), two girls who are left alone at their prep school Bramford over winter break when their parents mysteriously fail to pick them up. While the girls experience increasingly strange and creepy occurrences at the isolated school, we cross cut to another story-that of Joan (Emma Roberts), a troubled young woman on the road, who, for unknown reasons, is determined to get to Bramford as fast as she can. As Joan gets closer to the school, Kat becomes plagued by progressively intense and horrifying visions, with Rose doing her best to help her new friend as she slips further and further into the grasp of an unseen evil force. The movie suspensefully builds to the moment when the two stories will finally intersect, setting the stage for a shocking and unforgettable climax.",6.4/10,61.0,44.0,17.0,5.3/10,16.0,12.0,4.0,3.1/5,"4,500",The Blackcoat's Daughter,Oz Perkins,,
tt3530978,6.1,3292,movie,Correspondence,La corrispondenza,0,2016,\N,116,"Drama,Romance",nm0868153,nm0868153,nm0868153,,nm0868153,Giuseppe Tornatore,"writer,director,producer","tt0120731,tt0095765,tt0213847,tt1924396",771447008,Correspondence (La corrispondenza),Giuseppe Tornatore,"Art House & International, Drama, Romance",,"Jun 27, 2017",,NR,116.0,Paco Cinematografica,Giuseppe Tornatore,An astrophysics professor (Jeremy Irons) has a love affair with a much younger Ph.D. student (Olga Kurylenko). Directed by Giuseppe Tornatore (Cinema Paradiso).,5/10,7.0,1.0,6.0,,,,,2.8/5,72,Correspondence,Giuseppe Tornatore,,
tt3841424,7.8,27186,movie,Land of Mine,Under sandet,0,2015,\N,100,"Drama,History,War",nm1324710,nm1324710,nm1324710,,nm1324710,Martin Zandvliet,"editor,writer,director","tt3841424,tt1314269,tt1706596,tt1729226",771430355,Land of Mine (Under Sandet),Martin Zandvliet,"Art House & International, Drama","Feb 10, 2017","Jun 6, 2017","$434,640","R (for violence, some grisly images, and language)",110.0,Sony Pictures Classics,Martin Zandvliet,"In the aftermath of World War II, a group of surrendered German soldiers are ordered by Allied forces to remove their own landmines from the coast of Denmark. Directed by Martin Zandvliet, Land of Mine made its world premiere at the 2015 Toronto International Film Festival.",7.4/10,100.0,91.0,9.0,7.6/10,22.0,20.0,2.0,4.1/5,"4,900",Land of Mine,Martin Zandvliet,,
tt4466550,6.9,436,movie,Antarctica: Ice & Sky,La glace et le ciel,0,2015,\N,89,"Adventure,Biography,Documentary",nm0415207,nm0415207,nm0415207,,nm0415207,Luc Jacquet,"director,writer,cinematographer","tt0756648,tt4466550,tt0428803,tt2873250",771423999,Antarctica: Ice & Sky (La glace et le ciel),Luc Jacquet,"Art House & International, Documentary","Jan 20, 2017","Jan 24, 2017",,NR,89.0,Music Box Films,Luc Jacquet,"From Oscar (R)-winning director Luc Jacquet (March of the Penguins) comes a stirring portrait of French glaciologist Claude Lorius whose groundbreaking research in Antarctica gave us the first clear evidence of man-made global climate change. Lorius discovered his destiny as a college student when he joined an expedition to Antarctica in 1955; land essentially untouched by scientific experiment. He would go on to participate in twenty-two expeditions during his long career, facing unforgiving conditions and brutal personal challenges that were rewarded with an amazing discovery: using ice cores thousands of meters deep, tiny air bubbles suspended in the ice reveal the composition of the planet's atmosphere over nearly a million years. Through remarkable archival footage and stunning drone cinematography, Antarctica: Ice and Sky is an epic tale where science and adventure meet, equal parts contemplative memoir and an ardent call to action.",7.2/10,27.0,24.0,3.0,7.3/10,10.0,8.0,2.0,3.2/5,266,Antarctica: Ice & Sky,Luc Jacquet,,
tt4628882,5.9,612,movie,Daguerrotype,Le secret de la chambre noire,0,2016,\N,131,"Drama,Fantasy,Horror",nm0475905,"nm0475905,nm1771591,nm8251376,nm5237123",nm0475905,,nm0475905,Kiyoshi Kurosawa,"director,writer,actor","tt0286751,tt4173478,tt0123948,tt0938341",771449511,Daguerrotype (Le secret de la chambre noire),Kiyoshi Kurosawa,"Art House & International, Drama, Horror, Science Fiction & Fantasy",,"Nov 7, 2017",,NR,131.0,Under the Milky Way,Kiyoshi Kurosawa,"Jean (Tahar Rahim), a young Parisian with few skills and even fewer prospects, seems an unlikely candidate for assistant to famed photographer Stéphane (Olivier Gourmet), an obsessive perfectionist living in isolation since his wife's unexpected death. Yet he soon finds himself in his new employer's vast, decaying mansion, helping to create life-sized daguerrotypes so vivid they seem almost to contain some portion of their subjects' souls. Their model is most often Stéphane's daughter and muse, Marie (Constance Rousseau), and as she and Jean fall in love they realize they must hatch a plot to leave Stéphane's haunted world forever. But is there something malevolent within the massive daguerrotypes that will prevent their escape? From acclaimed Japanese master Kiyoshi Kurosawa (Creepy, Pulse), comes Daguerrotype, a classic ghost story bent through the lens of one of the most singular horror visionaries at work today",5.9/10,13.0,6.0,7.0,,,,,3.2/5,31,Daguerrotype,Kiyoshi Kurosawa,,
tt6053938,6.0,1684,movie,The Laws of Thermodynamics,Las leyes de la termodinámica,0,2018,\N,100,Comedy,nm0317834,nm0317834,nm0317834,,nm0317834,Mateo Gil,"writer,director,assistant_director","tt4074928,tt1186830,tt0369702,tt0125659",771491788,The Laws of Thermodynamics (Las Leyes de la Termodinámica),Mateo Gil,Comedy,,"Aug 31, 2018",,NR,100.0,Netflix,Mateo Gil,"Tracks the tumultuous romance between Manel and model-turned-actress Elena. Gliding seamlessly back and forth through space and time, the film takes us on a whirlwind tour of seduction and ecstasy, heartbreak and regeneration. Balancing scenes of romantic bedazzlement with witty commentaries from science experts--though can anyone explain the gravitational pull of the object of one's desire?",4.3/10,12.0,5.0,7.0,,,,,3.1/5,34,The Laws of Thermodynamics,Mateo Gil,,
tt8765496,6.0,1951,movie,May the Devil Take You,Sebelum Iblis Menjemput,0,2018,\N,110,Horror,nm3464186,nm3464186,nm3464186,,nm3464186,Timo Tjahjanto,"director,writer,producer","tt5147214,tt2409300,tt1447791,tt2450186",771498879,May the Devil Take You (Sebelum iblis menjemput),Timo Tjahjanto,Horror,,"Nov 15, 2018",,NR,,Netflix,Timo Tjahjanto,"When their father suffers from a mysterious illness, Alfie, her step-siblings and stepmother return to an old family villa and uncover a terrifying secret about their father's demonic pact. A broken promise threatens a gruesome end to her family, and Alfie realizes that she's the only one who can pay the debt.",5.2/10,9.0,7.0,2.0,,,,,3.3/5,97,May the Devil Take You,Timo Tjahjanto,,
