all_reviewers_average,box_office,director_1,director_2,director_3,directors,full_synop,genre,movie_id,mpaa,num_all_fresh,num_all_reviewers,num_all_rotten,num_top_fresh,num_top_reviewers,num_top_rotten,num_users,runtime,simple_title,stream_date,studio,theater_date,title,top_reviewers_average,user_rating,writer,writer_1,writer_2,writer_3
6.1/10,,Tomasz Wasilewski,,,Tomasz Wasilewski,"In his fifteenth year of training, aspiring champion swimmer Kuba lives a normal, uneventful life - at home with his mother and girlfriend. He happily switches back and forth from good sex with Sylwia to the occasional back rub his mother craves. But Kuba has also been growing more curious about some of the boys at the gym. At a gallery opening one night, he is out of place and totally bored until he meets Michal. Sylwia picks up on his fascination, but Kuba has her heart. She keeps her feelings to herself, as from one day to the next Kuba puts Michal in the middle of his life with her. Kuba drops his training program and begins to dream of another life. His mother is incredulous and urges him to stay on track. Meanwhile, Michal takes on the task of convincing his concerned mother and distant father that his lifestyle is not just a passing fancy. Kuba comes to recognize he has never experienced feelings as deep as those he has for Michal. It takes all the courage he can muster to face those who love him and dive in. Then he must deal with the consequences.","Documentary, Drama, Special Interest, Romance",771354354,NR,5.0,7.0,2.0,,,,149,85.0,Plynace wiezowce,"Oct 20, 2014",Alter Ego Pictures,,Plynace wiezowce (Floating Skyscrapers),,3.2/5,Tomasz Wasilewski,Tomasz Wasilewski,,
6.5/10,,Don Argott,,,Don Argott,"A feature-length documentary that originally sought to follow the band and their fans throughout the world, to demonstrate how music ties us together when we can't find any other common bond. However, during the filming process in 2012, the story abruptly took a dramatic turn, bringing the band into a Kafkaesque nightmare, when lead singer Randy Blythe was arrested on charges of manslaughter, blamed for the death of one of their young fans in the Czech Republic. What followed was a heart-wrenching courtroom drama that left fans, friends, and curious onlookers around the world on the edge of their seats.","Documentary, Musical & Performing Arts, Special Interest",771371306,NR,12.0,15.0,3.0,,,,185,120.0,Lamb Of God's As The Palaces Burn,"Oct 14, 2014",SpectiCast,"Feb 27, 2014",Lamb Of God's As The Palaces Burn,,4.1/5,,,,
5.3/10,"$2,820,939",Manny Rodriguez,,,Manny Rodriguez,"THE FLUFFY MOVIE captures worldwide comic phenomenon Gabriel ""Fluffy"" Iglesias in never-before-seen footage from his sold-out ""Unity Through Laughter"" tour. Spanning over 23 countries, and more than 400 cities, this is the summer's must-see big screen comedy event. (c) Open Road","Comedy, Special Interest",771375186,PG-13 (for suggestive material and sexual references),8.0,15.0,7.0,5.0,10.0,5.0,"11,024",102.0,The Fluffy Movie,"Oct 21, 2014",Open Road Films,"Jul 25, 2014",The Fluffy Movie,5.3/10,4/5,,,,
7.5/10,"$77,121,429",Doug Liman,,,Doug Liman,"The epic action of ""Edge of Tomorrow"" unfolds in a near future in which an alien race has hit the Earth in an unrelenting assault, unbeatable by any military unit in the world. Major William Cage (Tom Cruise) is an officer who has never seen a day of combat when he is unceremoniously dropped into what amounts to a suicide mission. Killed within minutes, Cage now finds himself inexplicably thrown into a time loop-forcing him to live out the same brutal combat over and over, fighting and dying again...and again. But with each battle, Cage becomes able to engage the adversaries with increasing skill, alongside Special Forces warrior Rita Vrataski (Emily Blunt). And, as Cage and Rita take the fight to the aliens, each repeated encounter gets them one step closer to defeating the enemy.(C) Warner Bros","Drama, Science Fiction & Fantasy",771317257,"PG-13 (for intense sequences of sci-fi action and violence, language and brief suggestive material)",278.0,308.0,30.0,46.0,55.0,9.0,"146,813",113.0,Live Die Repeat: Edge of Tomorrow,"Oct 7, 2014",Warner Bros. Pictures,"Jun 6, 2014",Live Die Repeat: Edge of Tomorrow,7.1/10,4.2/5,"Dante Harper, Joby Harold, Christopher McQuarrie, Jez Butterworth, John-Henry Butterworth",Dante Harper,Joby Harold,Christopher McQuarrie
4.5/10,"$18,686",Roger Gual,,,Roger Gual,"One of the greatest restaurants in the world is closing and an eclectic mix of international patrons have arrived in beautiful Catalonia for the final dinner service in this witty and delicious ensemble comedy. As the staff prepare and serve an audacious tasting menu, a young couple in the midst of a divorce who made their reservation a year ago (before separating) reunite for this once-in-a-lifetime meal. Can their romance be rekindled with the help of the widow dining with her husband's ashes? Will the brilliant chef be able to pull off a perfect finale? An Irish and Spanish co-production, TASTING MENU, like all great ensemble dramedies centered on culinary delights, is a crowd-pleasing mishmash of relationships, feuds, and broken dreams that are mended through the simple act of ""breaking bread"" and the universal appreciation of great food. Similar in style to foodie classics like BIG NIGHT and CHOCOLAT, TASTING MENU will leave you awash in a European sensation of joie de vivre. (c) Magnolia","Comedy, Romance",771358802,PG-13 (for brief strong language),3.0,17.0,14.0,0.0,8.0,8.0,162,85.0,Menú degustació,"Oct 6, 2014",Magnolia Pictures,"Apr 18, 2014",Menú degustació (Tasting Menu),4.4/10,2.7/5,"Roger Gual, Javier Calvo",Roger Gual,Javier Calvo,
5.8/10,"$28,116",Aron Gaudet,Gita Pullapilly,,"Aron Gaudet, Gita Pullapilly","The official trailer for BENEATH THE HARVEST SKY is now available via Tribeca Film. Making its U.S. debut at this year's Tribeca Film Festival, BENEATH THE HARVEST SKY follows Casper (Emory Cohen, THE PLACE BEYOND THE PINES) and Dominic (Callan McAuliffe, THE GREAT GATSBY), who have been fiercely loyal friends since childhood. Desperate for a way out of their quiet town on the Maine-Canada border, the boys make a pact to pool their earnings on a car and hit the road. But when Casper is drawn into drug smuggling with his outlaw father (Aidan Gillen, ""The Wire,"" ""Game of Thrones"") to pay his share, their friendship is pushed to the brink and adult choices forced on them all too soon. A standout narrative debut from Aron Gaudet and Gita Pullapilly (THE WAY WE GET BY), BENEATH THE HARVEST SKY is a gripping coming-of-age thriller set against an authentic portrait of small-town American life. (C) Tribeca",Drama,771363431,NR,13.0,21.0,8.0,8.0,10.0,2.0,321,116.0,Beneath The Harvest Sky,"Oct 13, 2014",Tribeca Film,"May 2, 2014",Beneath The Harvest Sky,5.9/10,3.6/5,"Aron Gaudet, Gita Pullapilly",Aron Gaudet,Gita Pullapilly,
4.5/10,,Anthony C. Ferrante,,,Anthony C. Ferrante,"The sequel to 2013's Sharknado, this time set in the Big Apple.",Action & Adventure,771381733,NR,17.0,29.0,12.0,6.0,14.0,8.0,"2,407",100.0,Sharknado 2: The Second One,"Oct 7, 2014",NCM Fathom,"Aug 21, 2014",Sharknado 2: The Second One,2.4/10,2.6/5,Thunder Levin,Thunder Levin,,
7.4/10,,Robert Wise,,,Robert Wise,"The contrasting acting styles of Clark Gable and Burt Lancaster serve to increase the already high tension level of the WW2 drama Run Silent, Run Deep. Gable plays submarine commander ""Rich"" Richardson, who assumes command of the USS Nerka. Because his previous sub was sunk by the Japanese under highly suspect circumstances, Richardson inspires nothing but animosity from his new crew. Particularly hostile is executive officer Lt. Jim Bledsoe (Burt Lancaster), who'd assumed that he was next in line to command the Nerka. Obsessed with tracking down the Japanese destroyer that sank his old sub, Richardson drives his crew mercilessly, and even disobeys direct orders from his own higher-ups. The Nerka manages to blast the Japanese vessel out of the waters, but in so doing the sub is placed in dire peril in enemy waters. In his desperate efforts to save the Nerka, Richardson at long last wins the respect of Bledsoe and the rest of the crew. Featured in the cast of Run Silent, Run Deep are Burt Lancaster's old circus partner Nick Cravat, and, in his unbilled movie debut, Don Rickles. ~ Hal Erickson, Rovi","Action & Adventure, Classics, Drama",18447,G,8.0,8.0,0.0,,,,"5,548",93.0,"Run Silent, Run Deep","Sep 23, 2014",United Artists,"Mar 27, 1958","Run Silent, Run Deep",,3.6/5,John Gay,John Gay,,
5.3/10,,Sophie Lellouche,,,Sophie Lellouche,"The eternal wisdom of Woody Allen informs PARIS-MANHATTAN, debut writer/director Sophie Lellouche's charming and warm-hearted romantic comedy about a young woman whose choices in life and love are shaped by the philosophies of her favourite filmmaker. (c) Official Site","Art House & International, Comedy, Romance",771270916,NR,10.0,23.0,13.0,1.0,9.0,8.0,"1,274",77.0,Paris Manhattan,"Sep 22, 2014",Palace Films,"Apr 12, 2013",Paris Manhattan,4.7/10,3/5,Sophie Lellouche,Sophie Lellouche,,
7.7/10,,Sebastian Junger,,,Sebastian Junger,"On April 20, 2011, shortly after the release of his documentary RESTREPO - and only six weeks after attending the Oscar ceremony as a nominee - photographer and filmmaker Tim Hetherington was killed by mortar fire in the city of Misrata, Libya, where he'd been covering the civil war. He bled out in the back of a pick-up truck while being raced to the hospital, comforted by a Spanish photojournalist who was holding his hand and trying to keep him awake. Those moments ended a brilliant ten-year career in which Hetherington not only covered such dramatic frontline stories as Liberia and Afghanistan, but also transcended the conventional boundaries of image-making to become one of the most important journalists of his generation. (c) Official FB","Documentary, Special Interest",771324129,NR,15.0,15.0,0.0,6.0,6.0,0.0,364,79.0,Which Way Is the Front Line from Here? The Life and Times of Tim Hetherington,"Sep 29, 2014",HBO Films,"Apr 12, 2013",Which Way Is the Front Line from Here? The Life and Times of Tim Hetherington,7.8/10,4.4/5,,,,
6.8/10,"$2,363",Riley Morton,,,Riley Morton,"Tracking the behind-the-scenes efforts of both the pro- and anti-initiative groups, the film serves as a case study for other states in determining how to reform their own drug policies, and examines the civic, economic and human impact of marijuana legalization. Against the backdrop of the 40-year-old 'War on Drugs', the state of Washington becomes a key battleground in the fight for cannabis prohibition reform. A growing medical pot industry paves the way for cultural change, while an unprecedented team of political superstars and local celebrities put forth a plan, known as Initiative 502, that they hope will balance the delicate politics of the region and stand a chance to pass in the November elections. (C) First Run Features",Documentary,771357559,NR,10.0,12.0,2.0,6.0,7.0,1.0,151,86.0,Evergreen: The Road to Legalization in Washington,"Sep 15, 2014",First Run Pictures,"Jun 13, 2014",Evergreen: The Road to Legalization in Washington,7.9/10,3.2/5,Nils Cowan,Nils Cowan,,
6.9/10,"$238,781",Daniel Geller,Dayna Goldfine,Dan Geller,"Daniel Geller, Dayna Goldfine, Dan Geller","Darwin meets Hitchcock in this true-crime tale of paradise found and lost. The Galapagos Affair is a fascinating documentary portrait of a 1930s murder mystery as strange and alluring as the famous archipelago itself. Fleeing conventional society, a Berlin doctor and his mistress start a new life on uninhabited Floreana Island. But after the international press sensationalizes the exploits of the Galapagos' ""Adam and Eve,"" others flock there - including a self-styled Swiss Family Robinson and a gun-toting Viennese Baroness and her two lovers. Clashing personalities are aggravated by the island community's lusty free-love ethos, and when some of the islanders disappear, suspicions of murder hang in the air leaving an unsolved mystery which remains the subject of local lore today. (c) Zeitgeist","Documentary, Special Interest",771364779,NR,42.0,50.0,8.0,14.0,19.0,5.0,"1,753",120.0,The Galapagos Affair: Satan Came To Eden,"Sep 9, 2014",Zeitgeist Films,"Apr 4, 2014",The Galapagos Affair: Satan Came To Eden,6.8/10,3.5/5,"Daniel Geller, Dayna Goldfine, Celeste Schaefer Snyder, Dan Geller",Daniel Geller,Dayna Goldfine,Celeste Schaefer Snyder
5/10,,Jane Lipsitz,Dan Cutforth,,"Jane Lipsitz, Dan Cutforth","Under the Electric Sky is an immersive 3D documentary exploring the allure of the EDM phenomenon told through the experiences of six different groups among the nearly 350,000 festivalgoers attending the Electric Daisy Carnival (EDC) 2013 in Las Vegas. Combining those personal stories along with performances by Fatboy Slim, Kaskade, Dillon Francis, Afrojack, Above & Beyond, Armin Van Buren, Avicii, and Tiësto, directors Dan Cutforth and Jane Lipsitz bring the event to life by going behind the scenes to show what it takes to stage one of the biggest parties in the known universe. They chronicle the unique journeys of individual attendees from different walks of life, all of whom share one common desire - to shed their inhibitions and immerse themselves in this judgment-free celebration of life and music. Renowned artist Kaskade created the musical score to accompany the film, and KCRW music director Jason Bentley acted as the music supervisor for the documentary. (c) Focus Features","Documentary, Musical & Performing Arts",771371851,"PG-13 (for suggestive material, partial nudity, drug references and brief strong language)",8.0,14.0,6.0,5.0,8.0,3.0,244,90.0,EDC 2013: Under the Electric Sky,"Sep 2, 2014",Focus Features,"May 29, 2014",EDC 2013: Under the Electric Sky,5.3/10,3.8/5,,,,
2.7/10,"$169,137",Shirish Kunder,,,Shirish Kunder,"Ever wondered if aliens were to visit a village that is not on the map of our country, what hell would break loose?! Joker is the story of Agastya (Akshay Kumar), a researcher probing the existence of aliens in the universe, who returns to his small little native village. The out of luck Agastya takes it upon himself to put his crazy village on the global map and continues with his alien exploration from there. While his plan gets the village attention from across the world, it also comes with a great deal of risk. Will aliens save the day for Akshay? Or will his plans fall like a pack of cards? Get set for India's first ever extra-terrestrial drama-comedy - Joker! -- (C) UTV","Action & Adventure, Comedy, Science Fiction & Fantasy",771257859,NR,0.0,5.0,5.0,,,,827,92.0,Joker 3D,"Aug 19, 2014",UTV Communications,"Aug 31, 2012",Joker 3D,,2.1/5,Shirish Kunder,Shirish Kunder,,
7.6/10,,Nabil Ayouch,,,Nabil Ayouch,"These are street kids from poor families where everyday violence, mental illness, corruption, and dope-dealing compete with fantasies of escaping to Western Europe to earn scads of money or dreams of making it as a professional soccer player. They are subject to the lure of religious fanatics who blame their misfortune on ""the imperialist Zionist conspiracy"" and offer a ""community of new brothers"" to those who will submit to the discipline of martyrdom. Nabil Ayouch's deeply moving film has been lauded for its ""brutal poetry"" and the realism with which it depicts how insidiously and cynically fundamentalists ply their trade. The film was presented as part of Un Certain Regard at the 2012 Cannes Film Festival. (c) Film Forum","Art House & International, Drama",771307306,NR,12.0,12.0,0.0,8.0,8.0,0.0,558,115.0,God's Horses,"Sep 2, 2014",Kino Lorber,"May 14, 2014",God's Horses,7.8/10,3.8/5,Jamel Belmahi,Jamel Belmahi,,
5.4/10,,Rowan Athale,,,Rowan Athale,"In the vein of Brit-crime crowd-pleasers like LOCK, STOCK & TWO SMOKING BARRELS, WASTELAND is the sexy, high-energy story of Harvey Miller (Treadaway), a young man recently released from prison for a crime he didn't commit, who has revenge on his mind. He recruits his three best mates to help him rob the local drug kingpin whose betrayal put him away in the first place. As the kingpin catches wind of the con, Harvey's plan threatens to fall apart, in a series of surprising twists that will keep you guessing until the very end. The excellent cast includes such familiar faces as Timothy Spall (SECRETS AND LIES) and Neil Maskell (KILL LIST). (c) Oscilloscope","Drama, Mystery & Suspense",771318562,NR,15.0,24.0,9.0,6.0,9.0,3.0,671,106.0,The Rise,"Sep 1, 2014",Oscilloscope Pictures,"Jul 26, 2013",The Rise (Wasteland),5.5/10,3.5/5,Rowan Athale,Rowan Athale,,
8/10,,Angus MacLane,,,Angus MacLane,"What starts out as a fun road trip for the Toy Story gang takes an unexpected turn for the worse when the trip detours to a roadside motel. After one of the toys goes missing, the others find themselves caught up in a mysterious sequence of events that must be solved before they all suffer the same fate in this Toy Story OF TERROR! -- (C) ABC","Animation, Kids & Family",771365842,NR,15.0,16.0,1.0,,,,"2,647",22.0,Toy Story of Terror!,"Aug 19, 2014",Disney Pixar,"Oct 16, 2013",Toy Story of Terror!,,4.1/5,Andrew Stanton,Andrew Stanton,,
7.7/10,,Ryan Murphy,,,Ryan Murphy,"This drama tells the story of the onset of the HIV-AIDS crisis in New York City in the early 1980s, taking an unflinching look at the nation's sexual politics as gay activists and their allies in the medical community fight to expose the truth about the burgeoning epidemic to a city and nation in denial. -- (C) HBO","Drama, Television",771375650,R,47.0,50.0,3.0,22.0,24.0,2.0,"7,113",133.0,The Normal Heart,"Aug 26, 2014",HBO Films,,The Normal Heart,8.6/10,4.2/5,Larry Kramer,Larry Kramer,,
7.9/10,,Maurice Pialat,,,Maurice Pialat,"This powerful romantic drama examines the final period of a long and ultimately unhappy affair. Jean (Jean Yanne) is an unpleasant, domineering man. Though he still lives with his wife, their marriage has been over for a long time. For six years, Jean has had an affair with the much-younger Catherine (Marlene Jobert). The dynamic of their relationship is moving it toward disintegration also, but Catherine resists it. Scenes of alternating recriminations and reconciliations unveil the anatomy of their breakup. ~ Clarke Fountain, Rovi",Drama,770797902,NR,8.0,8.0,0.0,,,,139,106.0,Nous ne vieillirons pas ensemble,"Aug 11, 2014",The Film Desk,"Sep 7, 1972",Nous ne vieillirons pas ensemble (We Won't Grow Old Together),,3.8/5,,,,
7.1/10,"$17,769,442",Alastair Fothergill,Keith Scholey,Adam Chapman,"Alastair Fothergill, Keith Scholey, Adam Chapman","In an epic story of breathtaking scale, Disneynature's new True Life Adventure ""Bears"" showcases a year in the life of a bear family as two impressionable young cubs are taught life's most important lessons. Set against a majestic Alaskan backdrop teeming with life, their journey begins as winter comes to an end and the bears emerge from hibernation to face the bitter cold. The world outside is exciting-but risky-as the cubs' playful descent down the mountain carries with it a looming threat of avalanches. As the season changes from spring to summer, the brown bears must work hard to find food-ultimately feasting at a plentiful salmon run-while staying safe from rival male bears and predators, including an ever-present wolf pack. ""Bears"" captures the fast-moving action and suspense of life in one of the planet's last great wildernesses-Alaska! Directed by Alastair Fothergill (""Earth,"" ""African Cats"" and ""Chimpanzee"") and Keith Scholey (""African Cats""), ""Bears"" arrives in theaters April 18, 2014, to celebrate Earth Day.(c) Disney",Kids & Family,771318848,G,51.0,56.0,5.0,19.0,21.0,2.0,"22,588",78.0,Disneynature Bears,"Aug 12, 2014",Walt Disney Pictures,"Apr 18, 2014",Disneynature Bears,7.1/10,4/5,,,,
5.4/10,,Allison Anders,,,Allison Anders,"A biopic of country music legend June Carter Cash directed by Allison Anders nad based on a book by Carter's son John Carter Cash. The movie focuses on the complicated relationship June (Jewel) has with her husband, the revered country music superstar Johnny Cash. ~ Perry Seibert, Rovi",Drama,771356695,NR,3.0,9.0,6.0,2.0,7.0,5.0,76,90.0,Ring of Fire,"Jun 11, 2013",Asylum Entertainment,,Ring of Fire,4.5/10,2.9/5,Richard Friedenberg,Richard Friedenberg,,
4.1/10,"$25,675,765",Scott Moore,Jon Lucas,,"Scott Moore, Jon Lucas","Straight-A college student Jeff Chang has always done what he was supposed to do. But when his two best friends Casey and Miller surprise him with a visit for his 21st birthday, Jeff Chang decides to do everything he wants to do for a change, even though his important medical school interview is early the next morning. What was supposed to be one beer becomes a night of humiliation, over indulgence and utter debauchery in this coming-of-drinking-age-comedy, from the writers of THE HANGOVER, about living youth to its fullest.",Comedy,771304584,"R (for crude and sexual content, pervasive language, some graphic nudity, drugs and drinking)",27.0,106.0,79.0,7.0,23.0,16.0,"58,759",93.0,21 And Over,"Jun 18, 2013",Relativity Media,"Mar 1, 2013",21 And Over,4.1/10,3.2/5,"Jon Lucas, Scott Moore",Jon Lucas,Scott Moore,
4/10,"$55,000,000",Tommy Wirkola,,,Tommy Wirkola,"After getting a taste for blood as children, Hansel (Jeremy Renner) and Gretel (Gemma Arterton) have become the ultimate vigilantes, hell bent on retribution. Now, unbeknownst to them, Hansel and Gretel have become the hunted, and must face an evil far greater than witches...their past. -- (C) Paramount","Action & Adventure, Comedy",771225176,"R (for strong fantasy horror violence and gore, brief sexuality/nudity and language)",20.0,137.0,117.0,1.0,23.0,22.0,"98,522",87.0,Hansel and Gretel: Witch Hunters,"Jun 11, 2013",Paramount Pictures/MGM,"Jan 25, 2013",Hansel and Gretel: Witch Hunters,3/10,3.4/5,"Tommy Wirkola, D.W. Harper",Tommy Wirkola,D.W. Harper,
6.7/10,,Jerry Aronson,,,Jerry Aronson,"Visionary, radical, spiritual seeker, renowned poet, founding member of a major literary movement, champion of human rights, Buddhist, political activist and teacher-Allen Ginsberg's remarkable life shaped the very soul of American counterculture. For 25 years, Academy Award (R)-nominated director Jerry Aronson accumulated more than 120 hours of film on Allen Ginsberg, resulting in this comprehensive portrait of one of America's greatest poets, author of Howl and other groundbreaking poems. The DVD includes exclusive and revealing interviews with his friends, family and contemporaries as well as never-before-seen materials made public because of the warm friendship that developed between subject and director. This compilation reveals the last 60 years of American culture beginning with the Beat era in the post-war Forties and Fifties, continuing through the revolutionary Sixties and concluding with the uncertainty and possibility of current times. (c) Cinedigm","Documentary, Special Interest",770672605,NR,10.0,13.0,3.0,,,,506,84.0,The Life and Times of Allen Ginsberg,"Jun 11, 2013",Docurama,"Feb 17, 1994",The Life and Times of Allen Ginsberg,,3.7/5,,,,
6.8/10,"$51,000",Maiken Baird,Michelle Major,,"Maiken Baird, Michelle Major","Venus and Serena takes an unfiltered look into the remarkable lives of the greatest sister-act professional tennis has ever seen. In a sport where they were not welcomed, the indomitable Williams sisters faced the opposition with grace and courage not only breaking new ground for female and African American athletes everywhere, but dominating the women's game for over a decade. The film tells the inspiring story of how these two women, against all odds, but with the help of visionary parents, made it to the top. Venus and Serena also explores the struggle of these two aging superstars during the 2011 tennis season as they battle life and career-threatening health problems. In Venus and Serena we gain unprecedented access into the sisters' lives - both in the spotlight and behind closed doors - and we watch as they draw their greatest strengths from one another to overcome countless adversities. (c) Magnolia Pictures","Documentary, Special Interest",771315393,PG-13 (for some strong language),24.0,31.0,7.0,13.0,18.0,5.0,"2,070",99.0,Venus And Serena,"Jul 2, 2013",Magnolia Pictures,"May 10, 2013",Venus And Serena,6.3/10,3.6/5,,,,
8.5/10,"$701,278",Michael Apted,Paul Almond,,"Michael Apted, Paul Almond","""Give me the child until he is seven and I will give you the man."" Starting in 1964 with Seven Up, The UP Series has explored this Jesuit maxim. The original concept was to interview 14 children from diverse backgrounds from all over England, asking them about their lives and their dreams for the future. Every seven years, renowned director Michael Apted, a researcher for Seven Up, has been back to talk to them, examining the progression of their lives. (c) First Run Features","Documentary, Special Interest",771308634,NR,66.0,67.0,1.0,26.0,27.0,1.0,"7,167",139.0,56 Up,"Jul 2, 2013",First Run Features,"Jan 4, 2013",56 Up,8.6/10,3.9/5,,,,
3.6/10,"$51,935,916",Tyler Perry,,,Tyler Perry,"SYNOPSIS: A bold exploration of the intrigue and perils of infidelity, Tyler Perry's Temptation: Confessions of a Marriage Counselor is a compelling love story that dives straight into the heart of obsessive passion. ""It's about a woman who starts to get restless in her relationship and her choice to be with another man has a huge effect on the rest of her life,"" explains screenwriter/producer/director Tyler Perry. ""She goes on a journey - in her career and in her marriage - and she ends up in a very different place than she expected."" In a departure from his previous dramas, this explosive film finds Perry exploring the nature of desire - and just how powerful and dangerous a taste of the forbidden can be. ""This is definitely one of the most provocative movies - sexually and otherwise - that I've made,"" says the director. ""There are a lot of people who struggle in their relationships. They make bad choices about their marriages. They get divorced. And so many of them don't step out of their situation and really think about the consequences of what they're doing. This movie asks, 'Are you sure you want to do this?' It sends up a flag."" (c) Lionsgate","Drama, Mystery & Suspense",771265737,"PG-13 (for some violence, sexuality and drug content)",5.0,34.0,29.0,0.0,16.0,16.0,"35,754",111.0,Temptation,"Jul 9, 2013",Lionsgate Films,"Mar 29, 2013",Temptation,3/10,3.7/5,Tyler Perry,Tyler Perry,,
5.7/10,"$9,167",Alexandra Cassavetes,,,Alexandra Cassavetes,"Beautiful vampire Djuna (Josephine de La Baume) tries to resist the advances of the handsome, human screenwriter Paolo (Milo Ventimiglia), but eventually gives in to their passion. When her troublemaker sister Mimi (Roxane Mesquida) unexpectedly comes to visit, Djuna's love story is threatened, and the whole vampire community becomes endangered... (c) magnolia","Drama, Horror",771318766,"R (for bloody violence, strong sexual content, nudity, language and some drug use)",20.0,34.0,14.0,7.0,11.0,4.0,"2,741",97.0,Kiss Of The Damned,"Jul 23, 2013",Magnolia Pictures,"May 3, 2013",Kiss Of The Damned,5.6/10,2.9/5,Alexandra Cassavetes,Alexandra Cassavetes,,
4/10,"$519,049",Ben Stassen,Vincent Kesteloot,,"Ben Stassen, Vincent Kesteloot","Two young turtles are captured by poachers while escorting hatchlings to safety, and must embark on a dangerous adventure to return home.","Action & Adventure, Animation, Art House & International, Kids & Family",771307068,G,2.0,10.0,8.0,,,,403,92.0,Sammy's Adventures 2,"Jul 16, 2013",Studio Canal,,Sammy's Adventures 2 (Sammy's avonturen 2),,2.9/5,Domonic Paris,Domonic Paris,,
6/10,"$3,790,059",Ken Scott (V),,,Ken Scott (V),"STARBUCK stars Patrick Huard as David Wosniak, a 42-year old lovable but perpetual screw up who finally decides to take control of his life. A habitual sperm donor in his youth, he discovers that he's the biological father of 533 children, 142 of whom are trying to force the fertility clinic to reveal the true identity of the prolific donor code-named Starbuck. (c) EOne","Art House & International, Comedy",771243352,"R (for sexual content, language and some drug material)",45.0,69.0,24.0,16.0,26.0,10.0,"4,672",109.0,Starbuck,"Jul 23, 2013",Entertainment One,"Mar 22, 2013",Starbuck,6/10,3.8/5,"Martin Petit, Ken Scott (V)",Martin Petit,Ken Scott (V),
6/10,,Michael J. Bassett,,,Michael J. Bassett,"Captain Solomon Kane is a brutally efficient 16th Century killing machine. Armed with his signature pistols, cutlass and rapier, he and his men unleash their bloodlust as they fight for England in war after war on all continents. As the story opens, Kane and his band of pillagers are carving a bloody path through hordes of defenders in an exotic city in northern Africa. But, when Kane decides to attack a mysterious nearby castle to plunder its rumored riches, his mission takes a fateful turn. One by one, Kane's men are picked off by demonic creatures until he alone is left to face the Devil's own Reaper -- dispatched from the depths of Hell to lay claim to his hopelessly corrupt soul. Though Kane at last manages to escape, he knows that he now must redeem himself by renouncing violence and devoting himself wholly to a life of peace and purity. -- (C) Official Site","Action & Adventure, Science Fiction & Fantasy",770682092,R (for violence throughout),31.0,46.0,15.0,7.0,14.0,7.0,"25,072",104.0,Solomon Kane,"Jul 16, 2013",Radius-TWC,"Sep 28, 2012",Solomon Kane,5/10,3.2/5,Michael J. Bassett,Michael J. Bassett,,
7.6/10,,Jay Oliva,,,Jay Oliva,"We all wish for the chance to go back in time and change the things, for The Flash, that coveted chance is within reach. He traverses time to right a violent, decades-past crime against his mother, but the ripples of his good intentions prove disastrous, as a fractured, alternate reality now exists in place of the familiar one. Stumbling through this twisted reality where even Superman is nowhere to be found, The Flash seeks the trusted wisdom of Batman, only to find a grittier, more violent Dark Knight in his place. Together with the help of Cyborg, they race to restore the continuity of Flash's original timeline while this new world is ravaged by a fierce war between Wonder Woman's Amazons and the Atlanteans, led by a battle hardened Aquaman. With breath taking action and an all-star voice cast featuring Kevin Conroy, C. Thomas Howell and Dana Delany, it's a bold, emotional vision that will forever change the landscape of the DC Universe!","Action & Adventure, Animation",771359827,PG-13,5.0,5.0,0.0,,,,"5,594",95.0,DCU: Justice League: The Flashpoint Paradox,"Jul 30, 2013",WARNER BROTHERS PICTURES,,DCU: Justice League: The Flashpoint Paradox,,4.4/5,,,,
8/10,,Jeffrey Hornady,Jeffrey Hornaday,Jeffery Hornaday,"Jeffrey Hornady, Jeffrey Hornaday, Jeffery Hornaday","Teen surfing sweethearts Brady and McKenzie are swept into the movie musical ""Wet Side Story"" when they crash beneath a wave. In the film, bikers and surfers battle for control of a local hangout, and Brady and McKenzie inadvertently alter the movie's romantic storyline when a handsome surfer falls for McKenzie and a cute biker girl swoons for Brady. ~ Tim Holland, Rovi","Kids & Family, Musical & Performing Arts, Television",771357196,NR,6.0,7.0,1.0,,,,"2,663",91.0,Teen Beach Movie,"Jul 30, 2013",Rainforest Productions,,Teen Beach Movie,,3.9/5,"Vince Marcello, Mark Landry, Robert Horn",Vince Marcello,Mark Landry,Robert Horn
