tconst,averageRating,numVotes,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,directors_x,writers,director1,director2,nconst,primaryName,primaryProfession,knownForTitles,movie_id,title,directors_y,genre,theater_date,stream_date,box_office,mpaa,runtime,studio,writer,full_synop,all_reviewers_average,num_all_reviewers,num_all_fresh,num_all_rotten,top_reviewers_average,num_top_reviewers,num_top_fresh,num_top_rotten,user_rating,num_users,simple_title,director_1,director_2,director_3
tt0420206,7.4,12555,movie,Summer Storm,Sommersturm,0,2004,\N,98,"Comedy,Drama,Romance",nm0471086,"nm0046910,nm0471086",nm0471086,,nm0471086,Marco Kreuzpaintner,"director,writer,producer","tt4176826,tt0399095,tt7095194,tt0420206",112770523,Summer Storm (Sommersturm),"Marco Kreupainter, Marco Kreuzpaintner","Art House & International, Comedy, Drama, Romance, Sports & Fitness","Mar 17, 2006","Sep 5, 2006","$100,000","R (for sexuality, language and drug content)",98.0,Regent Releasing,"Marco Kreuzpaintner, Thomas Bahmann, Tom Bahmann","Tobi and Achim have been best friends for years. As cox and oarsman, they have helped their team win several rowing cups in the past and are now looking forward to the big regatta in the countryside. But, this trip is no summer camp and the first problems soon arise. As Achim's relationship with his girlfriend grows more serious, Tobi starts to realize that his feelings for Achim run deeper than he's willing to admit to himself. He feels confused, unsure of himself and increasingly left out. When the much-anticipated Berlin girls' team is being replaced by a team of athletic, cliché-busting young gay men, Tobi and his teammates are suddenly forced to grapple with their prejudices, their fears, and, perhaps, their hidden longings. As the tension grows, Tobi, Achim and the others head toward a confrontation as fierce and ultimately as liberating as the summer storm gathering over the lake.",5.6/10,31.0,15.0,16.0,5.7/10,16.0,9.0,7.0,3.7/5,"6,910",Summer Storm,Marco Kreupainter,Marco Kreuzpaintner,
tt1212456,7.3,1015,movie,Entre nos,Entre nos,0,2009,\N,80,Drama,"nm1501718,nm0380415","nm0380415,nm1501718",nm1501718,nm0380415,nm1501718,Paola Mendoza,"actress,director,writer","tt0834938,tt0463025,tt1212456,tt4266684",770808423,Entre nos (Between Us),"Gloria La Morte, Paola Mendoza","Art House & International, Drama",,"Jul 20, 2010",,NR,80.0,Indiepix,"Gloria La Morte, Paola Mendoza","Inspired by true events, Paola Mendoza and Gloria La Morte's deeply-personal family drama follows one devoted mother's quest to provide for her two beloved children after being abandoned in a strange new land. Columbia native Mariana (Mendoza) and her two children have just arrived in Queens, NY to be with her husband when he announces he'll be leaving for Miami and they're not welcome to join him. Left to fend for herself and her two young children in an unfamiliar city and no friends to speak of, Mariana struggles to find work while forming a close bond with a single mother named Preet (Sarita Choudury). Before long, Mariana has found a way to make some money through recycling, and her 10 year old son has stepped up to the task of becoming both father and brother to his impressionable young sister.",7.2/10,6.0,5.0,1.0,,,,,4/5,546,Entre nos,Gloria La Morte,Paola Mendoza,
