nconst,primaryName,primaryProfession,knownForTitles
nm0000066,Jane Russell,"actress,soundtrack,producer","tt0043476,tt0043643,tt0045177,tt0045810"
nm0000067,Miklós Rózsa,"music_department,composer,soundtrack","tt0052618,tt0054847,tt0036775,tt0038109"
nm0000068,Randolph Scott,"actor,producer,soundtrack","tt0026942,tt0056412,tt0049743,tt0051047"
nm0000069,Frank Sinatra,"soundtrack,actor,producer","tt0056218,tt0052218,tt0045793,tt0050815"
nm0000070,Max Steiner,"music_department,composer,soundtrack","tt0034583,tt0040897,tt0031381,tt0036613"
nm0000071,James Stewart,"actor,soundtrack,director","tt0032904,tt0031679,tt0052357,tt0052561"
nm0000072,Elizabeth Taylor,"actress,soundtrack,producer","tt0053318,tt0061184,tt0051459,tt0056937"
nm0000073,Shirley Temple,"actress,soundtrack,writer","tt0032264,tt0040369,tt0027421,tt0030657"
nm0000074,Gene Tierney,"actress,soundtrack","tt0037008,tt0039420,tt0037865,tt0038492"
nm0000075,Spencer Tracy,"actor,soundtrack","tt0055031,tt0053946,tt0061735,tt0057193"
nm0000076,François Truffaut,"writer,director,producer","tt0075860,tt0053198,tt0070460,tt0055032"
nm0000077,Franz Waxman,"music_department,composer,soundtrack","tt0043924,tt0032976,tt0043014,tt0034248"
nm0000078,John Wayne,"actor,producer,soundtrack","tt0056217,tt0057298,tt0065126,tt0053580"
nm0000079,Raquel Welch,"actress,soundtrack,producer","tt0060397,tt0070291,tt0072281,tt0250494"
nm0000080,Orson Welles,"actor,director,writer","tt0052311,tt0033467,tt0059012,tt0057427"
nm0000081,Natalie Wood,"actress,soundtrack,music_department","tt0055614,tt0055471,tt0057263,tt0048545"
nm0000082,Victor Young,"music_department,soundtrack,composer","tt0045061,tt0090756,tt0119094,tt3315342"
nm0000084,Li Gong,actress,"tt0473444,tt0430357,tt0101640,tt0397535"
nm0000090,Armin Mueller-Stahl,"actor,director,writer","tt0139809,tt0963178,tt0765443,tt0117631"
nm0000092,John Cleese,"actor,writer,producer","tt0063929,tt0071853,tt0085959,tt0095159"
nm0000093,Brad Pitt,"actor,producer,soundtrack","tt0356910,tt0114746,tt1210166,tt0816711"
nm0000095,Woody Allen,"writer,director,actor","tt0091167,tt0075686,tt0079522,tt0097123"
nm0000096,Gillian Anderson,"actress,producer,soundtrack","tt0442632,tt0455590,tt2294189,tt0106179"
nm0000098,Jennifer Aniston,"actress,producer,soundtrack","tt0108778,tt1723121,tt1038919,tt3442006"
nm0000099,Patricia Arquette,"actress,director,soundtrack","tt0145531,tt0412175,tt0108399,tt1065073"
nm0000100,Rowan Atkinson,"actor,writer,producer","tt0118689,tt0274166,tt0109831,tt0110357"
nm0000101,Dan Aykroyd,"writer,actor,producer","tt0106598,tt0087332,tt0080455,tt0118747"
nm0000102,Kevin Bacon,"actor,producer,soundtrack","tt0164052,tt0361127,tt0327056,tt0087277"
nm0000103,Fairuza Balk,"actress,soundtrack","tt0089908,tt0181875,tt0120586,tt0115963"
nm0000104,Antonio Banderas,"actor,soundtrack,producer","tt0285823,tt0120746,tt0120657,tt1189073"
nm0000105,Adrienne Barbeau,"actress,writer,soundtrack","tt0082340,tt0090685,tt1024648,tt0080749"
nm0000106,Drew Barrymore,"producer,actress,soundtrack","tt0120631,tt0120888,tt0343660,tt0151738"
nm0000107,Kim Basinger,"actress,soundtrack,producer","tt0108525,tt0337921,tt0119488,tt0096895"
nm0000108,Luc Besson,"writer,producer,director","tt0119116,tt0100263,tt0110413,tt2872732"
nm0000110,Kenneth Branagh,"actor,producer,director","tt0107616,tt3402236,tt0097499,tt0116477"
nm0000111,Matthew Broderick,"actor,soundtrack,director","tt0395251,tt0115798,tt0091042,tt0086567"
nm0000112,Pierce Brosnan,"actor,producer,soundtrack","tt0143145,tt0113189,tt0795421,tt0120347"
nm0000113,Sandra Bullock,"producer,actress,soundtrack","tt1454468,tt0111257,tt1041829,tt0212346"
nm0000114,Steve Buscemi,"actor,director,producer","tt4686844,tt0116282,tt0162346,tt0105236"
nm0000115,Nicolas Cage,"actor,producer,soundtrack","tt0119094,tt0113627,tt0117500,tt0435705"
nm0000116,James Cameron,"writer,producer,director","tt0499549,tt0103064,tt0090605,tt0120338"
nm0000117,Neve Campbell,"actress,producer,soundtrack","tt1262416,tt0117571,tt0120082,tt0134084"
nm0000118,John Carpenter,"soundtrack,writer,music_department","tt0077651,tt0093777,tt0082340,tt0080749"
nm0000119,Tia Carrere,"actress,soundtrack,producer","tt0207919,tt0275847,tt0105793,tt0111503"
nm0000120,Jim Carrey,"actor,writer,producer","tt0109040,tt0120382,tt0338013,tt0315327"
nm0000122,Charles Chaplin,"writer,soundtrack,actor","tt0027977,tt0032553,tt0039631,tt0044837"
nm0000123,George Clooney,"actor,producer,director","tt1193138,tt2177771,tt0465538,tt1124035"
nm0000124,Jennifer Connelly,actress,"tt0102803,tt0180093,tt0315983,tt0268978"
nm0000125,Sean Connery,"actor,producer,soundtrack","tt0094226,tt0181536,tt0059800,tt0117500"
nm0000126,Kevin Costner,"actor,producer,soundtrack","tt0102798,tt0103855,tt0119925,tt0099348"
nm0000127,Wes Craven,"writer,producer,director","tt0087800,tt0117571,tt0111686,tt0105121"
nm0000128,Russell Crowe,"actor,soundtrack,producer","tt0119488,tt1707386,tt0268978,tt0172495"
nm0000129,Tom Cruise,"actor,producer,soundtrack","tt0116695,tt0092099,tt0120755,tt0325710"
nm0000130,Jamie Lee Curtis,"actress,producer,director","tt0095159,tt0111503,tt0322330,tt1502407"
nm0000131,John Cusack,"actor,producer,writer","tt0146882,tt0450385,tt0098258,tt0119229"
nm0000132,Claire Danes,"actress,producer,soundtrack","tt0117509,tt1796960,tt0274558,tt0108872"
nm0000133,Geena Davis,"actress,producer,soundtrack","tt0116908,tt0103074,tt0091064,tt0164912"
nm0000134,Robert De Niro,"actor,producer,soundtrack","tt0101540,tt0070379,tt0075314,tt0081398"
nm0000136,Johnny Depp,"actor,producer,soundtrack","tt0449088,tt0383574,tt0408236,tt0325980"
nm0000137,Bo Derek,"actress,producer,miscellaneous","tt0114694,tt0099656,tt0086987,tt0083170"
nm0000138,Leonardo DiCaprio,"actor,producer,writer","tt0993846,tt0120338,tt1375666,tt0407887"
nm0000139,Cameron Diaz,"actress,producer,soundtrack","tt0119738,tt0259711,tt0160127,tt0129387"
nm0000140,Michael Douglas,"actor,producer,soundtrack","tt0094291,tt1291580,tt0093010,tt0103772"
nm0000141,David Duchovny,"actor,producer,director","tt0106179,tt0904208,tt0443701,tt0120902"
nm0000142,Clint Eastwood,"actor,producer,director","tt1205489,tt0405159,tt0112579,tt0105695"
nm0000144,Cary Elwes,"actor,producer,director","tt0107977,tt0387564,tt0119468,tt0093779"
nm0000145,Sherilyn Fenn,"actress,soundtrack","tt0100935,tt0098936,tt0092240,tt0105046"
nm0000146,Ralph Fiennes,"actor,director,soundtrack","tt2278388,tt0108052,tt1201607,tt0387131"
nm0000147,Colin Firth,"actor,producer,soundtrack","tt1504320,tt0243155,tt2802144,tt1315981"
nm0000148,Harrison Ford,"actor,writer,producer","tt0090329,tt0106977,tt0118571,tt0082971"
nm0000149,Jodie Foster,"actress,director,producer","tt0102926,tt0094608,tt0075314,tt0118884"
nm0000150,Michael J. Fox,"actor,producer,miscellaneous","tt0096874,tt0099088,tt0116365,tt0088763"
nm0000151,Morgan Freeman,"actor,producer,soundtrack","tt0114369,tt0405159,tt0097239,tt1057500"
nm0000152,Richard Gere,"actor,soundtrack,producer","tt0358135,tt0100405,tt0119395,tt0299658"
nm0000153,Gina Gershon,"actress,soundtrack,producer","tt1726669,tt0115736,tt0114436,tt0095963"
nm0000154,Mel Gibson,"actor,producer,director","tt0286106,tt0104714,tt0112573,tt0117438"
nm0000155,Whoopi Goldberg,"actress,producer,writer","tt0105417,tt0108147,tt0088939,tt0099653"
nm0000156,Jeff Goldblum,"actor,soundtrack,producer","tt2278388,tt0116629,tt0091064,tt0107290"
nm0000157,Linda Hamilton,actress,"tt0087050,tt0088247,tt0118928,tt0103064"
nm0000158,Tom Hanks,"producer,actor,soundtrack","tt0109830,tt0094737,tt0162222,tt0120815"
nm0000159,Teri Hatcher,"actress,soundtrack,writer","tt0410975,tt0106057,tt0120347,tt0327597"
nm0000160,Ethan Hawke,"actor,writer,director","tt2209418,tt0139654,tt0112471,tt0381681"
nm0000161,Salma Hayek,"actress,producer,soundtrack","tt1615065,tt0120891,tt0120679,tt0112851"
nm0000162,Anne Heche,"actress,writer,producer","tt0119008,tt0251160,tt0120885,tt0120828"
nm0000163,Dustin Hoffman,"actor,producer,soundtrack","tt0084805,tt0095953,tt0064665,tt0061722"
nm0000164,Anthony Hopkins,"actor,soundtrack,composer","tt0102926,tt0212985,tt0412080,tt0975645"
nm0000165,Ron Howard,"actor,producer,director","tt0870111,tt0268978,tt0112384,tt0367279"
